    rank                 nation  gold  silver  bronze  total
0      1                  italy     5       4       2     11
1      2                 france     3       3       5     11
2      3                  egypt     2       0       2      4
3      4                algeria     1       4       4      9
4      5                tunisia     1       1       5      7
5      6                 turkey     1       1       0      2
6      7               slovenia     1       0       1      2
7      8  serbia and montenegro     0       1       2      3
8      9                  spain     0       0       5      5
9   10 =                 greece     0       0       1      1
10  10 =                morocco     0       0       1      1
