   year                       award                 category              work     result
0  1996  international horror guild                best film            scream        won
1  1996                saturn award             best actress     neve campbell        won
2  1996                saturn award           best direction        wes craven  nominated
3  1996                saturn award         best horror film            scream        won
4  1996                saturn award    best supporting actor      skeet ulrich  nominated
5  1996                saturn award  best supporting actress    drew barrymore  nominated
6  1996                saturn award             best writing  kevin williamson        won
7  1997             mtv movie award  best female performance     neve campbell  nominated
8  1997             mtv movie award               best movie            scream        won
9  1997     gãrardmer film festival              grand prize        wes craven        won
