    rank         nation  gold  silver  bronze  total
0      1         brazil    21       9      12     42
1      2  united states     9       3       6     18
2      3          china     1       9       8     18
3      4      australia     1       1       1      3
4      4    netherlands     1       1       1      3
5      6        estonia     1       0       0      1
6      7        germany     0       5       1      6
7      8         russia     0       2       3      5
8      9      argentina     0       2       0      2
9     10    switzerland     0       1       1      2
10    11         norway     0       1       0      1
11    12        austria     0       0       1      1
