    district          incumbent       party  elected    status
0          1       felix grucci  republican     2000   running
1          2       steve israel    democrat     2000   running
2          3         peter king  republican     1992   running
3          4   carolyn mccarthy    democrat     1996   running
4          5      gary ackerman    democrat     1983   running
5          6    gregory w meeks    democrat     1998   running
6          7     joseph crowley    democrat     1998   running
7          8     jerrold nadler    democrat     1992   running
8          9     anthony weiner    democrat     1998   running
9         10           ed towns    democrat     1982   running
10        11        major owens    democrat     1982   running
11        12    nydia velazquez    democrat     1992   running
12        13      vito fossella  republican     1997   running
13        14    carolyn maloney    democrat     1992   running
14        15   charles b rangel    democrat     1970   running
15        16       jose serrano    democrat     1990   running
16        17        eliot engel    democrat     1988   running
17        18         nita lowey    democrat     1988   running
18        19          sue kelly  republican     1994   running
19        20       john sweeney  republican     1998   running
20        21       mike mcnulty    democrat     1988   running
21        22    maurice hinchey    democrat     1992   running
22        23        john mchugh  republican     1992   running
23        24  sherwood boehlert  republican     1982   running
24        25          jim walsh  republican     1988   running
25        26       tom reynolds  republican     1998   running
26        27         jack quinn  republican     1992   running
27        28   louise slaughter    democrat     1986   running
28        29       amo houghton  republican     1986  retiring
