            district  municipalities  parishes                                 province of 1936                    region
0             aveiro              19       208  beira litoral province + douro litoral province            norte , centro
1               beja              14       100                                   baixo alentejo                  alentejo
2              braga              14       515                                            minho                     norte
3           bragança              12       299         trás - os - montes e alto douro province                     norte
4     castelo branco              11       160                             beira baixa province                    centro
5            coimbra              17       209             beira baixa province , beira litoral                    centro
6              évora              14        91                                    alto alentejo                  alentejo
7               faro              16        84                                 algarve province                   algarve
8             leiria              16       148             beira litoral province , estremadura                    centro
9             lisbon              16       226                    estremadura (partly ribatejo)  lisbon (partly alentejo)
10        portalegre              15        86         alto alentejo province (partly ribatejo)                  alentejo
11             porto              18       383                           douro litoral province                     norte
12           setúbal              13        82   estremadura province , baixo alentejo province         lisbon , alentejo
13  viana do castelo              10       290                                            minho                     norte
14         vila real              14       268                  trás - os - montes e alto douro                     norte
