       date                    cover model             centerfold model   interview subject    20 questions
0    1 - 03                    tia carrere           rebecca anne ramos         halle berry      ron insana
1    2 - 03                alison eastwood                 charis boyle        jimmy kimmel      bernie mac
2    3 - 03                       dorismar            pennelope jimenez       colin farrell  juliette lewis
3    4 - 03                 carmen electra            carmella decesare             jay - z    andy richter
4    5 - 03                  torrie wilson                laurie fetter  billy bob thornton       jorja fox
5    6 - 03                    sarah kozer                 tailor james         mike piazza           nelly
6    7 - 03                  nikki ziering               marketa janska  lisa marie presley    rachel weisz
7    8 - 03  jenna morasca , heidi strobel                colleen marie       tobey maguire  charles rangel
8    9 - 03                   signe nordli                luci victoria          jon gruden    nicolas cage
9   10 - 03                    lauren hill                   audra lynn          oj simpson       joe rogan
10  11 - 03                   daryl hannah                   divini rae   quentin tarantino     bill murray
11  12 - 03                shannen doherty  deisy teles and sarah teles         john cusack  william h macy
