                                        tie no                                   home team                                     score 1                                   away team                                  attendance
0                                            1                               coventry city                                       3 - 1                              aldershot town                                        9293
1                                            2                          milton keynes dons                                       1 - 0                                norwich city                                        6261
2                                            3                           wycombe wanderers                                       0 - 4                             birmingham city                                        2735
3                                            4                      brighton & hove albion                                       4 - 0                                      barnet                                        2571
4                                            5                                  gillingham                                       0 - 1                           colchester united                                        2566
5                                            6                             southend united                                       0 - 0                             cheltenham town                                        2998
6   cheltenham town won 1 - 0 after extra time  cheltenham town won 1 - 0 after extra time  cheltenham town won 1 - 0 after extra time  cheltenham town won 1 - 0 after extra time  cheltenham town won 1 - 0 after extra time
7                                            7                                swansea city                                       2 - 0                                   brentford                                        5366
8                                            8                                  luton town                                       2 - 0                             plymouth argyle                                        2682
9                                            9                                 exeter city                                       1 - 3                                 southampton                                        6471
10                                          10                                     watford                                       1 - 0                              bristol rovers                                        5574
11                                          11                                 bournemouth                                       1 - 2                                cardiff city                                        3399
12                                          12                                bristol city                                       2 - 1                         peterborough united                                        5684
13                                          13                           charlton athletic                                       0 - 1                                 yeovil town                                        6239
14                                          14                                    millwall                                       0 - 1                            northampton town                                        3525
15                                          15                                swindon town                                       2 - 3                         queens park rangers                                        7230
16                                          16                              crystal palace                                       2 - 1                             hereford united                                        3094
17                                          17                        dagenham & redbridge                                       1 - 2                                     reading                                        2360
18                                          18                                ipswich town                                       4 - 1                               leyton orient                                       10477
