     lok sabha          duration              name of mp                         party affiliation  election year
0       fourth         1967 - 71          p sivasankaran                 dravida munnetra kazhagam           1967
1        fifth         1971 - 77           ts lakshmanan                 dravida munnetra kazhagam           1971
2        sixth         1977 - 80     seeralan jaganathan  all india anna dravida munnetra kazhagam           1977
3      seventh         1980 - 84            t nagaratnam                 dravida munnetra kazhagam           1980
4       eighth         1984 - 89  margatham chandrasekar                  indian national congress           1984
5        ninth         1989 - 91  margatham chandrasekar                  indian national congress           1989
6        tenth         1991 - 96  margatham chandrasekar                  indian national congress           1991
7     elewenth         1996 - 98            t nagaratnam                 dravida munnetra kazhagam           1996
8      twelfth         1998 - 99             k venugopal  all india anna dravida munnetra kazhagam           1998
9   thirteenth         1999 - 04          a krishnaswamy                 dravida munnetra kazhagam           1999
10  fourteenth         2004 - 09          a krishnaswamy                 dravida munnetra kazhagam           2004
11   fifteenth  2009 - incumbent               t r baalu                 dravida munnetra kazhagam           2009
