   position              team  played  wins  draws  losses  scored  conceded  points
0         1           olimpia       9     4      4       1      14         6      16
1         2     12 de octubre       9     3      6       0      14         8      15
2         3     cerro porteño       9     3      5       1      16        10      14
3         4           guaraní       9     3      5       1       8         6      14
4         5        cerro corá       9     3      4       2       9         8      13
5         6    atl colegiales       9     3      4       2       9         9      13
6         7    sol de américa       9     2      5       2      11        10      11
7         8       san lorenzo       9     3      1       5      13        18      10
8         9         universal       9     1      3       5       9        17       6
9        10  sportivo luqueño       9     0      3       6       8        19       3
