           rank         province  population (2011)  percentage  population estimate (2013)
0             1          gauteng           12272263        23.7                    12728400
1             2  kwazulu - natal           10267300        19.8                    10456900
2             3     eastern cape            6562053        12.7                     6620100
3             4     western cape            5822734        11.2                     6016900
4             5          limpopo            5404868        10.4                     5518000
5             6       mpumalanga            4039939         7.8                     4128000
6             7       north west            3509953         6.8                     3597600
7             8       free state            2745590         5.3                     2753200
8             9    northern cape            1145861         2.2                     1162900
9  south africa     south africa           51770561       100.0                    52982000
