    episode  production code                                           title                 directed by                                           written by              airdate
0        27              201                                        deja foo                mark ackland                                         sib ventress      march 17 , 2008
1        28              202                the pecking order / party favors  mark ackland , ted collyer         sib ventress , eric trueheart , steve marmel     january 2 , 2008
2        29              203             smoke and mirrors / yin - credible!  mark ackland , ted collyer     eric trueheart , steve marmel , aydrea ten bosch    january 21 , 2008
3        30              204                   brain drain / the big payback  ted collyer , mark ackland                        eric trueheart , sib ventress      march 31 , 2008
4        32              206      a bad case of the buglies / control issues  mark ackland , ted collyer                    larry todd johnson , bart jennett   february 11 , 2008
5        33              207           foreign exchange problem / turn about  mark ackland , ted collyer       aydrea ten bosch , steve marmel , bart jennett   february 18 , 2008
6        35              209       this yang isn't brought to you by / stuck  mark ackland , ted collyer                aydrea ten bosch , larry todd johnson       march 3 , 2008
7        36              210                                 gone - a - fowl                 ted collyer                                       eric trueheart       april 7 , 2008
8        37              211          basic yin - stinct / fighting fooberty  mark ackland / ted collyer                      sib ventress / aydrea ten bosch      april 14 , 2008
9        38              212                          yin yang carl / smorks  ted collyer / mark ackland          danielle koenig , bart jennett / chad hicks         may 4 , 2008
10       39              213             wonder tweens go! / touchy feelings                 ted collyer                      aydrea ten bosch , steve marmel      april 28 , 2008
11       40              214   o'brother there art thou / roger over and out  mark ackland / ted collyer  dave lewman , joe liss , bart jennet / sib ventress         may 5 , 2008
12       41              215          inconvenient tooth / situation tragedy  mark ackland / ted collyer         sib ventress / steve marmel , eric trueheart       june 16 , 2008
13       42              216        skirting the issue / moon over my yinnie  mark ackland / ted collyer                        rich fogel / aydrea ten bosch       june 23 , 2008
14       43              217           clown - fu fighting / cat smash fever  mark ackland / ted collyer                        eric trueheart / sib ventress       june 30 , 2008
15       44              218                 camp magic pants / worked stiff  mark ackland / ted collyer     mark ackland , riccardo durante / eric trueheart        july 7 , 2008
16       47              221        old softie / dance , dance , devastation  mark ackland / ted collyer   eric trueheart / larry todd johnson , steve marmel       july 28 , 2008
17       48              222             upstanding yuck / walk in the woods  ted collyer / mark ackland           spencer walker , sib ventress / rich fogel      august 4 , 2008
18       49              223                    welcome to the dark tomorrow                mark ackland                          sib ventress , steve marmel     august 11 , 2008
19       50              224              today you are a bear / pets peeved  mark ackland / ted collyer                            sib ventress / rob hummel     august 18 , 2008
20       51              225  for the love of clamboy / zarnot 's girlfriend  mark ackland / ted collyer                     eric trueheart / scott sonneborn  september 28 , 2008
21       52              226      the secret life of possum panda / dummy up   ted collyer / ted collyer      eric trueheart , scott sonneborn / sib ventress  september 29 , 2008
22       53              227                          the howl of the weenie                 ted collyer                                       eric trueheart    october 13 , 2008
23       54              228             game over / creeping with the enemy                  chad hicks             sib ventress / rich fogel , bart jennett    october 27 , 2008
24       55              229     the yindianapolis 500 / personality problem    ted collyer / chad hicks             rob hummel , bart jennett / van partible   november 10 , 2008
25       58              232                roboticus maximus / size matters    chad hicks / ted collyer     eric trueheart / aydrea ten bosch , bart jennett   february 21 , 2009
26       61              235     clothes encounters / commander - in - cheat    ted collyer / chad hicks                          rich fogel / eric trueheart      march 14 , 2009
27       62              236                    party troopers / shadowcluck    ted collyer / chad hicks                        eric trueheart , sib ventress      march 21 , 2009
