   place               player           country  score to par
0      1       dennis paulson     united states     68    - 4
1      2           tom lehman     united states     69    - 3
2     t3        sergio garcía             spain     70    - 2
3     t3       steve stricker     united states     70    - 2
4     t5         thomas bjørn           denmark     71    - 1
5     t5          steve jones     united states     71    - 1
6     t5      bernhard langer           germany     71    - 1
7     t5        rocco mediate     united states     71    - 1
8     t5       phil mickelson     united states     71    - 1
9    t10          tommy aaron     united states     72      e
10   t10         paul azinger     united states     72      e
11   t10          mark brooks     united states     72      e
12   t10        darren clarke  northern ireland     72      e
13   t10            ernie els      south africa     72      e
14   t10            bob estes     united states     72      e
15   t10           nick faldo           england     72      e
16   t10       justin leonard     united states     72      e
17   t10  josé maría olazábal             spain     72      e
18   t10        masashi ozaki             japan     72      e
19   t10          vijay singh              fiji     72      e
20   t10           hal sutton     united states     72      e
