                           elector  nationality              cardinalatial order and title            elevated      elevator
0                  ordonho alvares   portuguese              cardinal - bishop of frascati     1278 , march 12  nicholas iii
1    latino malabranca orsini , op         rome      cardinal - bishop of ostia e velletri     1278 , march 12  nicholas iii
2   bentivenga da bentivengi , ofm  acquasparta                cardinal - bishop of albano     1278 , march 12  nicholas iii
3               anchero pantalãone       french            cardinal - priest of s prassede       1262 , may 22      urban iv
4                   simon de brion       french             cardinal - priest of s cecilia  1261 , december 17      urban iv
5                guillaume de bray       french               cardinal - priest of s marco       1262 , may 22      urban iv
6                  gerardo bianchi        parma       cardinal - priest of ss xii apostoli     1278 , march 12  nicholas iii
7             girolamo masci , ofm     lisciano          cardinal - priest of s pudenziana     1278 , march 12  nicholas iii
8                  giacomo savelli         rome   cardinal - deacon of s maria in cosmedin  1261 , december 17      urban iv
9               goffredo da alatri       alatri  cardinal - deacon of s giorgio in velabro  1261 , december 17      urban iv
10                   matteo orsini         rome    cardinal - deacon of s maria in portico       1262 , may 22      urban iv
11                 giordano orsini         rome           cardinal - deacon of s eustachio     1278 , march 12  nicholas iii
12                 giacomo colonna         rome   cardinal - deacon of s maria in via lata     1278 , march 12  nicholas iii
