    rank                        title                                     studio                    director  worldwide gross
0      1             independence day                           20th century fox             roland emmerich        817400891
1      2                      twister            warner bros / universal studios                 jan de bont        494471524
2      3         mission : impossible                         paramount pictures              brian de palma        457696359
3      4                     the rock                         hollywood pictures                 michael bay        335062621
4      5  the hunchback of notre dame                       walt disney pictures  kirk wise , gary trousdale        325338851
5      6               101 dalmatians          walt disney pictures / great oaks               stephen herek        320689294
6      7                       ransom  touchstone pictures / image entertainment                  ron howard        309492681
7      8          the nutty professor                         universal pictures                 tom shadyac        273961019
8      9                jerry maguire                           tristar pictures               cameron crowe        273552592
9     10                       eraser                                warner bros               chuck russell        242295562
10    11          the english patient                              miramax films           anthony minghella        231976425
11    12                    space jam                                warner bros                   joe pytka        230418342
12    13                 the birdcage                             united artists                mike nichols        185260553
13    14         the first wives club                         paramount pictures                 hugh wilson        181490000
14    15                       scream                            dimension films                  wes craven        173046663
15    16                     sleepers                                warner bros              barry levinson        165615285
16    17                     daylight                         universal pictures                   rob cohen        159212469
17    18               a time to kill                                warner bros             joel schumacher        152266007
18    19                   phenomenon                                buena vista              jon turteltaub        152036382
19    20                 broken arrow                           20th century fox                    john woo        150270147
