                       tournament                           2002                           2003                           2004                           2005                           2006                           2007                           2008                           2009                           2010                      career sr                   career w - l
0          grand slam tournaments         grand slam tournaments         grand slam tournaments         grand slam tournaments         grand slam tournaments         grand slam tournaments         grand slam tournaments         grand slam tournaments         grand slam tournaments         grand slam tournaments         grand slam tournaments         grand slam tournaments
1                 australian open                              a                              a                              a                              a                              a                              a                             lq                             lq                             lq                          0 / 0                          0 - 0
2                     french open                              a                              a                              a                              a                              a                              a                             lq                             lq                              a                          0 / 0                          0 - 0
3                       wimbledon                              a                              a                              a                              a                              a                              a                             lq                             1r                             lq                          0 / 1                          0 - 1
4                         us open                              a                              a                              a                              a                              a                              a                             lq                             lq                              a                          0 / 0                          0 - 0
5                              sr                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          0 / 1                          0 / 0                          0 / 0                          n / a
6                      win - loss                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 1                          0 - 0                          n / a                          0 - 1
7       wta premier 5 tournaments      wta premier 5 tournaments      wta premier 5 tournaments      wta premier 5 tournaments      wta premier 5 tournaments      wta premier 5 tournaments      wta premier 5 tournaments      wta premier 5 tournaments      wta premier 5 tournaments      wta premier 5 tournaments      wta premier 5 tournaments      wta premier 5 tournaments
8                           dubai                     not tier i                     not tier i                     not tier i                     not tier i                     not tier i                     not tier i                     not tier i                             lq                              a                          0 / 0                          0 - 0
9                              sr                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          0 / 0                          n / a
10                     win - loss                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          n / a                          0 - 0
11        wta premier tournaments        wta premier tournaments        wta premier tournaments        wta premier tournaments        wta premier tournaments        wta premier tournaments        wta premier tournaments        wta premier tournaments        wta premier tournaments        wta premier tournaments        wta premier tournaments        wta premier tournaments
12                         moscow                              a                              a                              a                              a                              a                              a                              a                             lq                              a                          0 / 0                          0 - 0
13  wta international tournaments  wta international tournaments  wta international tournaments  wta international tournaments  wta international tournaments  wta international tournaments  wta international tournaments  wta international tournaments  wta international tournaments  wta international tournaments  wta international tournaments  wta international tournaments
14                       auckland                              a                              a                              a                              a                              a                              a                              a                             lq                              a                          0 / 0                          0 - 0
15                        pattaya                              a                              a                              a                              a                              a                              a                              a                             2r                              a                          0 / 1                          1 - 1
16                      monterrey                       not held                       not held                       not held                       not held                       not held                       not held                       not held                             lq                              a                          0 / 0                          0 - 0
17                            fes                              a                              a                              a                              a                              a                              a                             lq                              a                              a                          0 / 0                          0 - 0
18                      barcelona                       not held                       not held                       not held                       not held                       not held                             lq                             lq                              a                              a                          0 / 0                          0 - 0
19                        estoril                             1r                             lq                             2r                             1r                              a                             1r                             1r                             1r                              a                          0 / 6                          1 - 6
20                       istanbul                       not held                       not held                       not held                              a                              a                              a                              a                             lq                              a                          0 / 0                          0 - 0
21                       tashkent                              a                              a                              a                              a                              a                              a                              a                             1r                              a                          0 / 1                          0 - 1
22                           linz                              a                              a                              a                              a                              a                             lq                              a                              a                              a                          0 / 0                          0 - 0
23                             sr                          0 / 1                          0 / 0                          0 / 1                          0 / 1                          0 / 0                          0 / 1                          0 / 1                          0 / 3                          0 / 0                          0 / 8                          n / a
24                     win - loss                          0 - 1                          0 - 0                          1 - 1                          0 - 1                          0 - 0                          0 - 1                          0 - 1                          1 - 3                          0 - 0                          n / a                          2 - 8
25              career statistics              career statistics              career statistics              career statistics              career statistics              career statistics              career statistics              career statistics              career statistics              career statistics              career statistics              career statistics
26             tournaments played                              1                              0                              1                              1                              0                              1                              1                              4                              0               career total : 9               career total : 9
27                 finals reached                              0                              0                              0                              0                              0                              0                              0                              0                              0               career total : 0               career total : 0
28                tournaments won                              0                              0                              0                              0                              0                              0                              0                              0                              0               career total : 0               career total : 0
29          statistics by surface          statistics by surface          statistics by surface          statistics by surface          statistics by surface          statistics by surface          statistics by surface          statistics by surface          statistics by surface          statistics by surface          statistics by surface          statistics by surface
30           hardcourt win - loss                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          4 - 0                          0 - 0                          3 - 1                          0 - 0                          n / a                          7 - 1
31                clay win - loss                          0 - 2                          0 - 0                          1 - 1                          2 - 1                          0 - 0                          0 - 1                          0 - 1                          1 - 2                          0 - 0                          n / a                          4 - 8
32               grass win - loss                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 1                          0 - 0                          n / a                          0 - 1
33              carpet win - loss                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 0                          0 - 2                          0 - 0                          0 - 0                          n / a                          0 - 2
34             overall win - loss                          0 - 2                          0 - 0                          1 - 1                          2 - 1                          0 - 0                          4 - 1                          0 - 3                          4 - 4                          0 - 0                          n / a                        11 - 12
35                        win (%)                             0%                             0%                            50%                            67%                             0%                            80%                             0%                            50%                             0%           career win (%) : 48%           career win (%) : 48%
36             year - end ranking                            710                            732                            421                            468                            495                            204                            162                            170                            434                          n / a                          n / a
