                 circuit          date               pole position                 fastest lap              winning driver                winning team
0           brands hatch      29 march              alexander sims              ryuji yamamoto          riki christodoulou           fortec motorsport
1           brands hatch      30 march          adam christodoulou          adam christodoulou          adam christodoulou                 cr scuderia
2             rockingham      12 april          adam christodoulou          adam christodoulou          adam christodoulou                 cr scuderia
3             rockingham      13 april          adam christodoulou          adam christodoulou          adam christodoulou                 cr scuderia
4         donington park         3 may              adriano buzaid              adriano buzaid              adriano buzaid           fortec motorsport
5         donington park         4 may              adriano buzaid              alexander sims               dean stoneman           alpine motorsport
6               thruxton        17 may          adam christodoulou              ryuji yamamoto          adam christodoulou                 cr scuderia
7               thruxton        18 may          adam christodoulou          adam christodoulou          riki christodoulou           fortec motorsport
8                  croft        31 may          adam christodoulou              adriano buzaid          adam christodoulou                 cr scuderia
9                  croft        1 june  race cancelled due to rain  race cancelled due to rain  race cancelled due to rain  race cancelled due to rain
10        silverstone gp        7 june              adriano buzaid              adriano buzaid              adriano buzaid           fortec motorsport
11        silverstone gp        8 june              adriano buzaid          riki christodoulou              adriano buzaid           fortec motorsport
12            snetterton       12 july          riki christodoulou               dean stoneman              alexander sims           manor competition
13            snetterton       13 july                james calado          riki christodoulou                james calado           fortec motorsport
14            snetterton       13 july               dean stoneman                  kris loane               dean stoneman           alpine motorsport
15           oulton park       26 july                james calado              alexander sims          adam christodoulou                 cr scuderia
16           oulton park       27 july               dean stoneman          riki christodoulou          adam christodoulou                 cr scuderia
17  silverstone national     30 august              adriano buzaid              alexander sims              alexander sims           manor competition
18  silverstone national     31 august                jordan oakes              adriano buzaid              adriano buzaid           fortec motorsport
19          brands hatch  20 september              adriano buzaid              adriano buzaid              adriano buzaid           fortec motorsport
20          brands hatch  21 september               dean stoneman               dean stoneman               dean stoneman           alpine motorsport
