     rank             nation  gold  silver  bronze  total
0       1          australia    25      19      22     66
1       2            england    15      15      10     40
2       3             canada    13      16      15     44
3       4       south africa    10      10       6     26
4       5        new zealand     5       7      13     25
5       6              wales     2       1       0      3
6       7             ceylon     1       0       0      1
7       8           scotland     0       2       3      5
8       9     british guiana     0       1       0      1
9      10  southern rhodesia     0       0       2      2
10  total              total    71      71      71    213
