   pos  car         driver       make                              team
0    1   33   ron hornaday  chevrolet        kevin harvick incorporated
1    2   18  dennis setzer      dodge  bobby hamilton racing - virginia
2    3   23  johnny benson     toyota                 bill davis racing
3    4   30    todd bodine     toyota                    germian racing
4    5    2   jack sprague      chevy        kevin harvick incorporated
5    6   99   erik darnell       ford               roush fenway racing
6    7    5   mike skinner     toyota                 bill davis racing
7    8   14  rick crawford       ford                 circle bar racing
8    9    6  colin braun r       ford               roush fenway racing
9   10   59   ted musgrave     toyota                    ht motorsports
