    round  pick           player          position     school / club team
0       1     5       stan heath       quarterback                 nevada
1       2    15      dan dworsky            center               michigan
2       3    25        lou ferry  defensive tackle              villanova
3       4    24   bob summerhays        linebacker                   utah
4       5    43      glenn lewis              back             texas tech
5       6    54     joe ethridge            tackle                    smu
6       8    74       dan orlich     defensive end                 nevada
7       9    83   everett faunce              back              minnesota
8      11   103     harry larche            tackle         arkansas state
9      12   114    rebel steiner    defensive back                alabama
10     13   123   al mastrangeli            center               illinois
11     14   134   bobby williams            center             texas tech
12     15   143       ken cooper             guard             vanderbilt
13     16   154     gene remenar            tackle          west virginia
14     17   163      paul devine              back             heidelberg
15     18   174      floyd lewis             guard                    smu
16     19   183     bobby folsom               end                    smu
17     20   194     larry cooney              back             penn state
18     21   203        ken kranz    defensive back  wisconsin - milwaukee
19     22   214     john kordick              back                    usc
20     23   223      bill kelley         tight end             texas tech
21     24   234       jimmy ford              back                  tulsa
22     25   243  frank lambright             guard               arkansas
