                                   episode title                                song (s) title                                            writer                                      singer (s)                      album (s)
0                         candace loses her head                                she 's candace                                             n / a                                       blitzwing                           none
1                       the fast and the phineas                             go , go , phineas   dan povenmire , jeff swampy marsh , danny jacob                 isabella and the fireside girls                           none
2               lawn gnome beach party of terror   backyard beach (2 on cliptastic countdown )                       dan povenmire , danny jacob                                        jetstorm  phineas and ferb (soundtrack)
3               lawn gnome beach party of terror             the moment has arrived (our song)                                             n / a                                       cyclonous                           none
4               lawn gnome beach party of terror                            perry the platypus                 dan povenmire , jeff swampy marsh  randy crenshaw , laura dickinson , danny jacob  phineas and ferb (soundtrack)
5                                       s'winter                                      s'winter                                             n / a        isabella , laura dickinson , danny jacob                           none
6                                   raging bully                          it 's going so badly                       dan povenmire , danny jacob                                           brawn                           none
7                 get that bigfoot outta my face                                 he 's bigfoot                                             n / a                                   grandpa clyde                           none
8                               toy to the world                                  shimmy jimmy                                             n / a                 laura dickinson and danny jacob                           none
9                               toy to the world                             quirky worky song                                             n / a                 laura dickinson and danny jacob                           none
10                              toy to the world                                         brick                                             n / a                 laura dickinson and danny jacob                           none
11                one good scare ought to do it!                 perry the platypus (extended)                 dan povenmire , jeff swampy marsh  randy crenshaw , laura dickinson , danny jacob                           none
12                one good scare ought to do it!                    candace (who 's that girl)                                             n / a                                     danny jacob                           none
13                          a hard day 's knight                    ballad of the black knight                                             n / a                                          huffer                           none
14                               mom 's birthday   i love you mom (7 on cliptastic countdown )  dan povenmire , jeff swampy marsh , martin olson                                         candace  phineas and ferb (soundtrack)
15                               run away runway                                forever summer                                             n / a                                     danny jacob                           none
16  dude , we 're getting the band back together                               history of rock     dan povenmire , martin olson , chris headrick                                         phineas                           none
17  dude , we 're getting the band back together                         music makes us better      dan povenmire , danny jacob , chris headrick                                    love hã¤ndel                           none
18                         the flying fishmonger                         the flying fishmonger                                             n / a                           phineas , danny jacob                           none
19                   phineas and ferb get busted                                 the good life                       dan povenmire , danny jacob                                     danny jacob                           none
20                   phineas and ferb get busted  little brothers (4 on cliptastic countdown )                                  jon colton barry                         stacy (laura dickinson)  phineas and ferb (soundtrack)
21                   phineas and ferb get busted                                  chains on me  dan povenmire , jeff swampy marsh , martin olson                                   dan povenmire  phineas and ferb (soundtrack)
22                   phineas and ferb get busted                  funky noises in the bathroom                                             n / a                                            none                           none
23                              greece lightning                                    my chariot                                             n / a                                  robbie wyckoff                           none
24                              greece lightning          paul bunyan 's pancake haus (jingle)                                             n / a                                     danny jacob                           none
25                      leave the busting to us!               leave the busting to us! (song)                                             n / a                                   dan povenmire                           none
26                      leave the busting to us!                        gotta make summer last                      danny jacob , janis liebhart                                     danny jacob                           none
27                               crack that whip                                   ring of fun      dan povenmire , martin olson , robert hughes                                     danny jacob                           none
28                        the best lazy day ever                                do nothing day                                  jon colton barry                                jeremy , candace  phineas and ferb (soundtrack)
29                       boyfriend from 27000 bc                          sandwich town jingle                                             n / a                                     danny jacob                           none
30                voyage to the bottom of buford                             fish out of water                   jon colton barry , martin olson                                   sheena easton                           none
31                          put that putter away                              quirky work song                                             n / a                                     danny jacob                           none
32           does this duckbill make me look fat                              slushy the clown                                             n / a                                     rob paulsen                           none
33           does this duckbill make me look fat                        perry the teenage girl                                             n / a                                   sheena easton                           none
34                             traffic cam caper                            and the animals go  dan povenmire , jeff swampy marsh , martin olson                                  major monogram                           none
35      the monster of phineas - n - ferbenstein                                  he 's eviler  dan povenmire , jeff swampy marsh , martin olson             jekyll doofenshmirtz , olivia olson                           none
36                                 out to launch                   shooting star milkshake bar                                             n / a                                     danny jacob                           none
37                              comet kermillian                             quirky worky song                                             n / a                                     danny jacob                           none
