                                    date  episode     performer 1         performer 2     performer 3    performer 4
0                       10 november 1989        1     greg proops      josie lawrence   tony slattery   mike mcshane
1                       17 november 1989        2     archie hahn      josie lawrence   tony slattery  john sessions
2                       24 november 1989        3        ron west  griff rhys - jones     paul merton  john sessions
3                        8 december 1989        4     greg proops      josie lawrence      paul rider   mike mcshane
4                       15 december 1989        5     ryan stiles       sandi toksvig   tony slattery  john sessions
5                       22 december 1989        6        ron west      jimmy mulville     paul merton  john sessions
6   29 december 1989 (christmas edition)        7     greg proops      josie lawrence     paul merton  sandi toksvig
7                         5 january 1990        8     ryan stiles      josie lawrence  neil mullarkey   mike mcshane
8                        12 january 1990        9     archie hahn      jonathan pryce     paul merton  john sessions
9                        19 january 1990       10     lee simpson          jan ravens   tony slattery   mike mcshane
10                       26 january 1990       11  josie lawrence        arthur smith   sandi toksvig   mike mcshane
11                       9 february 1990       12    mike mcshane       chris langham   sandi toksvig  john sessions
12                      16 february 1990       13     greg proops      josie lawrence   tony slattery  john sessions
13                      23 february 1990       14        ron west       sandi toksvig   tony slattery   rory mcgrath
14                          2 march 1990       15  josie lawrence         paul merton   tony slattery   mike mcshane
15                          9 march 1990       16   compilation 1       compilation 1   compilation 1  compilation 1
16                         16 march 1990       17   compilation 2       compilation 2   compilation 2  compilation 2
