                        race          date                            venue           winner                         notes
0      australian grand prix      march 18   albert park grand prix circuit   kimi räikkönen  world championship formula 1
1         bahrain grand prix      april 15    bahrain international circuit     felipe massa  world championship formula 1
2         belgian grand prix  september 16   circuit de spa - francorchamps   kimi räikkönen  world championship formula 1
3       brazilian grand prix    october 21       autódromo josé carlos pace   kimi räikkönen  world championship formula 1
4         british grand prix        july 8              silverstone circuit   kimi räikkönen  world championship formula 1
5        canadian grand prix       june 10        circuit gilles villeneuve   lewis hamilton  world championship formula 1
6         chinese grand prix     october 7   shanghai international circuit   kimi räikkönen  world championship formula 1
7          french grand prix        july 1  circuit de nevers magny - cours   kimi räikkönen  world championship formula 1
8       hungarian grand prix      august 5                      hungaroring   lewis hamilton  world championship formula 1
9         italian grand prix   september 9        autodromo nazionale monza  fernando alonso  world championship formula 1
10       japanese grand prix  september 30                    fuji speedway   lewis hamilton  world championship formula 1
11      malaysian grand prix       april 8     sepang international circuit  fernando alonso  world championship formula 1
12         monaco grand prix        may 27                circuit de monaco  fernando alonso  world championship formula 1
13    new zealand grand prix      march 13                   teretonga park     daniel gaunt          toyota racing series
14        spanish grand prix        may 13             circuit de catalunya     felipe massa  world championship formula 1
15        turkish grand prix     august 26                    istanbul park     felipe massa  world championship formula 1
16  united states grand prix       june 17      indianapolis motor speedway   lewis hamilton  world championship formula 1
