    pos                              constructor                     chassis  starts  finishes  wins  podiums  stage wins  power stage wins  points
0     1           citroën total world rally team             citroën ds3 wrc      26        22    10       16         121                 7     403
1     2          ford abu dhabi world rally team          ford fiesta rs wrc      26        25     3       16         103                 4     376
2     3  m - sport stobart ford world rally team          ford fiesta rs wrc      47        34     0        3           4                 0     178
3     4          petter solberg world rally team             citroën ds3 wrc      13        10     0        2          30                 1      98
4     5        ferm power tools world rally team          ford fiesta rs wrc      17        12     0        0           0                 0      54
5     6                           team abu dhabi          ford fiesta rs wrc       9         9     0        0           0                 0      54
6     7          munchi 's ford world rally team          ford fiesta rs wrc       7         6     0        0           0                 0      38
7     8                 monster world rally team          ford fiesta rs wrc       7         6     0        0           0                 0      27
8     9                van merksteijn motorsport             citroën ds3 wrc      12         4     0        0           0                 0      16
9    10                  brazil world rally team  mini john cooper works wrc      11         5     0        0           0                 0       7
10   11                             ice 1 racing             citroën ds3 wrc       9         6     0        0           0                 0      48
