   overall pick              afl team           player          position               college
0             2    cincinnati bengals      bob johnson            center             tennessee
1             4    san diego chargers  russ washington  offensive tackle              missouri
2             6  new england patriots      dennis byrd  defensive tackle  north carolina state
3             8        miami dolphins     larry csonka      running back              syracuse
4             9         buffalo bills      haven moses     offensive end          san diego st
5            17         new york jets        lee white      running back           weber state
6            18    san diego chargers         jim hill    defensive back                 texas
7            19    kansas city chiefs       mo moorman   offensive guard             texas a&m
8            22    kansas city chiefs     george daney   offensive guard                  utep
9            25       oakland raiders  eldridge dickey       quarterback       tennessee state
