   round  pick          player    position    nationality           college / junior / club team
0      1     6   craig redmond     defence         canada          university of denver ( wcha )
1      2    24     brian wilks      centre         canada                kitchener rangers (ohl)
2      3    48    john english     defence         canada       sault ste marie greyhounds (ohl)
3      4    69     tom glavine      centre  united states  billerica high school (massachusetts)
4      5    87   david grannis   left wing  united states  south st paul high school (minnesota)
5      6   108     greg strome  goaltender         canada      university of north dakota (wcha)
6      7   129  timothy hanley      centre  united states      deerfield academy (massachusetts)
7      8   150  shannon deegan      centre         canada           university of vermont (ecac)
8      9   171  luc robitaille   left wing         canada                hull olympiques (qmjhl)
9     10   191   jeff crossman      centre         canada     western michigan university (ccha)
