    pos                     driver  starts  finishes  wins  podiums  stage wins  power stage wins  points
0     1             sébastien loeb      13        11     5        9          65                 3     222
1     2             mikko hirvonen      13        12     2        8          36                 3     214
2     3            sébastien ogier      13        11     5        7          56                 4     196
3     4       jari - matti latvala      13        13     1        8          67                 1     172
4     5             petter solberg      13        10     0        2          30                 1     110
5     6               mads østberg      12        11     0        2           4                 0      88
6     7             matthew wilson      13        11     0        0           0                 0      63
7     8                 dani sordo       6         5     0        2           5                 0      59
8     9            henning solberg      12        10     0        1           0                 0      59
9    10             kimi räikkönen       9         6     0        0           0                 0      34
10   11                 kris meeke       6         2     0        0           2                 1      25
11   12             dennis kuipers      11         9     0        0           0                 0      21
12   13          federico villagra       7         6     0        0           0                 0      20
13   14          khalid al qassimi       8         8     0        0           0                 0      15
14   15                  ott tänak       8         7     0        0           0                 0      15
15   16              juho hänninen       7         7     0        0           0                 0      14
16   17             evgeny novikov       8         5     0        0           0                 0      12
17   18              hayden paddon       5         5     0        0           0                 0      10
18   19              martin prokop       9         9     0        0           0                 0       7
19   20     per - gunnar andersson       3         3     0        0           4                 0       6
20   21          michał kościuszko       6         6     0        0           0                 0       6
21   22                  ken block       7         6     0        0           0                 0       6
22   23             armindo araújo       8         4     0        0           0                 0       5
23   24      oleksandr saliuk , jr       5         4     0        0           0                 0       4
24   25  peter van merksteijn , jr      10         4     0        0           0                 0       2
25   26              benito guerra       7         5     0        0           0                 0       2
26   27             pierre campana       2         2     0        0           0                 0       2
27   28             bernardo sousa       8         5     0        0           0                 0       1
