    rank         nation  gold  silver  bronze  total
0      1         russia    10       7       8     25
1      2  united states     9       9       6     24
2      3          italy     4       1       1      6
3      3        ukraine     3       1       2      6
4      4        germany     0       1       4      5
5      4          japan     0       1       4      5
6      5       bulgaria     2       2       0      4
7      6        hungary     0       3       0      3
8      6         france     0       2       1      3
9      7         canada     0       1       0      1
10     7        finland     0       0       1      1
11     7       slovakia     0       0       1      1
