    tie no            home team  score          away team        attendance
0        1              enfield  1 - 1     torquay united   3 december 1994
1   replay       torquay united  0 - 1            enfield  13 december 1994
2        2         chester city  1 - 2            burnley   4 december 1994
3        3    preston north end  1 - 1            walsall   3 december 1994
4   replay              walsall  4 - 0  preston north end  13 december 1994
5        4           gillingham  1 - 1             fulham   3 december 1994
6   replay               fulham  1 - 2         gillingham  13 december 1994
7        5               marlow  2 - 1             woking   4 december 1994
8        6      crewe alexandra  1 - 2               bury   3 december 1994
9        7         lincoln city  1 - 0  huddersfield town   3 december 1994
10       8          scarborough  1 - 0          port vale   3 december 1994
11       9              wrexham  5 - 2   rotherham united   3 december 1994
12      10      plymouth argyle  2 - 1        bournemouth   3 december 1994
13      11      carlisle united  2 - 0         darlington   4 december 1994
14      12         hitchin town  0 - 5  wycombe wanderers   3 december 1994
15      13           altrincham  1 - 0     wigan athletic   3 december 1994
16      14          exeter city  1 - 2  colchester united   3 december 1994
17      15         halifax town  0 - 0     mansfield town   3 december 1994
18  replay       mansfield town  2 - 1       halifax town  13 december 1994
19      16          kingstonian  1 - 4   aylesbury united   3 december 1994
20      17  peterborough united  0 - 2   cambridge united   3 december 1994
21      18      birmingham city  0 - 0  scunthorpe united   2 december 1994
22  replay    scunthorpe united  1 - 2    birmingham city  14 december 1994
23      19        leyton orient  0 - 2     bristol rovers   3 december 1994
24      20              bashley  0 - 1       swansea city   4 december 1994
