    rank          nation  gold  silver  bronze  total
0      1         hungary     6       5       5     16
1      2          sweden     4       4       0      8
2      3    west germany     2       2       3      7
3      4  czechoslovakia     1       2       2      5
4      5         austria     2       1       1      4
5      6          france     0       1       1      2
6      7         denmark     0       0       1      1
7      8          norway     0       0       1      1
8      9         romania     0       0       1      1
9  total           total    15      15      15     45
