              player          position  round  overall               college
0        eric turner    defensive back      1        2                  ucla
1            ed king             guard      2       29                auburn
2        james jones  defensive tackle      3       57         northern iowa
3   pio sagapolutele  defensive tackle      4       85       san diego state
4    michael jackson     wide receiver      6      141  southern mississippi
5      frank conover  defensive tackle      8      197              syracuse
6      raymond irvin    defensive back      9      225       central florida
7      shawn wiggins     wide receiver      9      239               wyoming
8   brian greenfield            punter     10      252            pittsburgh
9         todd jones  offensive tackle     11      280       henderson state
10     elijah austin  defensive tackle     12      308  north carolina state
