    year         under - 11        under - 13               under - 15        under - 17               under - 19
0   1999       did not play           unknown                  unknown     moises galvez          bernardo samper
1   2000       did not play      adil maqbool                  unknown        jhie gough            moises galvez
2   2001       did not play      antonio glez  arturo salazar martinez  mauricio sanchez            moises galvez
3   2002       did not play     kelly shannon  arturo salazar martinez     jahanzeb khan       julian illingworth
4   2003       did not play        brian hong         david letourneau       andrew budd         miguel rodriguez
5   2004            unknown  nicholas sachvie            kelly shannon        colin west         miguel rodriguez
6   2005            unknown      david wardle              arjun gupta      antonio glez            chris sachvie
7   2006            unknown        sam conant         nicholas sachvie      todd harrity  arturo salazar martinez
8   2007         max martin      dylan murray             david wardle     alfredo avila  mohammed ali anwar reda
9   2008    david yacobucci      juan c gomez              ahmed latif     miled zarazua             todd harrity
10  2009        ryan murray  guillermo cortes         seif el einen jr  ahmed abdelhalim            miled zarazua
11  2010  aly abou el einen  mohamed el shamy              diego elias       fady sarwat          nicolas sachvie
12  2011        ayush menon        salim khan           mahmoud yousry    seif el heinen       ahmed abdel khalek
