     res  record           opponent                           method                                          event  round             location
0    win  16 - 5      wataru inatsu                     ko (punches)                     zst 9 - the battle field 9      1        tokyo , japan
1   loss  15 - 5   katsuhiko nagata             decision (unanimous)                  k - 1 premium 2005 dynamite!!      2        osaka , japan
2    win  15 - 4  ramazi jakharydze                   ko (head kick)                         hero 's lithuania 2005      1  vilnius , lithuania
3   loss  14 - 4    hiroyuki takaya                    tko (punches)                                      hero 's 3      2        tokyo , japan
4    win  14 - 3  takehiro murahama                   ko (left hook)                                      hero 's 2      1        tokyo , japan
5    win  13 - 3   danny van bergen              submission (armbar)                     shooto lithuania - chaosas      1  vilnius , lithuania
6    win  12 - 3     masahiro oishi                     ko (punches)         zst grand prix 2 - final round , final      1        tokyo , japan
7    win  11 - 3  hirotaka miyakawa                        ko (knee)   zst grand prix 2 - final round , semi finals      1        tokyo , japan
8    win  10 - 3        jakob shaap      submission (triangle choke)                     shooto lithuania - bushido      1  vilnius , lithuania
9    win   9 - 3     boulem belaini              ko (knee & punches)               zst grand prix 2 - opening round      1        tokyo , japan
10  loss   8 - 3     naoyuki kotani              submission (armbar)                          zst - battle hazard 1      1        tokyo , japan
11  loss   8 - 2       hideo tokoro      submission (triangle choke)                     zst 5 - the battle field 5      1        tokyo , japan
12   win   8 - 1   artemij sitenkov    submission (guillotine choke)                    shooto lithuania - vendetta      1  vilnius , lithuania
13   win   7 - 1  takahiro uchiyama                       ko (punch)                                   zst - gt - f      1        tokyo , japan
14  loss   6 - 1     marcus aurãlio      submission (triangle choke)     zst grand prix - final round , semi finals      1        tokyo , japan
15   win   6 - 0        takumi yano                        ko (slam)  zst grand prix - final round , quarter finals      1        tokyo , japan
16   win   5 - 0     menno dijkstra                        ko (knee)                 zst grand prix - opening round      1        tokyo , japan
17   win   4 - 0    atsuhiro tsuboi                        ko (knee)                     zst 4 - the battle field 4      1        tokyo , japan
18   win   3 - 0       hideo tokoro                       ko (knees)                     zst 3 - the battle field 3      1        tokyo , japan
19   win   2 - 0    atsuhiro tsuboi                        ko (knee)                     zst 2 - the battle field 2      2        tokyo , japan
20   win   1 - 0     darius balulis  submission (rear - naked choke)                                rf 2002 - vol 2      2            lithuania
