   round  pick  overall               name        position              college
0      1     2        2        bill fralic           guard           pittsburgh
1      2    17       45          mike gann   defensive end           notre dame
2      4     5       89        emile harry   wide receiver             stanford
3      6    12      152    reggie pleasant  defensive back              clemson
4      8     5      201         ashley lee  defensive back        virginia tech
5      8    19      215  ronnie washington      linebacker  northeast louisiana
6      9     4      228         micah moon      linebacker       north carolina
7     10     5      257       brent martin          center             stanford
8     11     4      284         john ayres  defensive back             illinois
9     12     5      313     ken whisenhunt       tight end         georgia tech
