                    sport  gold  silver  bronze  total
0       aquatics , diving     0       1       3      4
1   aquatics , water polo     1       0       0      1
2               athletics     9      13      10     32
3              basketball     0       0       3      3
4     board games , chess     0       0       1      1
5                  boxing     5       9      25     39
6       canoeing , sprint     1       2       1      4
7          cycling , road     3       4       5     12
8         cycling , track     1       5       8     14
9              equestrian     0       0       1      1
10                fencing     3       4       6     13
11               football     4       2       1      7
12               handball     0       1       1      2
13                   judo     1       7      10     18
14                kabaddi     0       1       1      2
15                 karate     9       8       5     22
16                 rowing     1       0       1      2
17               shooting     0       2       2      4
18           table tennis     0       0       2      2
19              taekwondo     8       9      15     32
20                 tennis     0       2       2      4
21    volleyball , indoor     0       3       2      5
22          weightlifting    30      28      19     77
23              wrestling    58      39      28    125
24                  wushu     4       3       5     12
25                  total   138     143     157    438
