    no   -            episode title                                       director                  writer (s)  us original airdate  prod code
0    6   1     masters and students                                  todd waterman                 david slack   february 11 , 2011        106
1    7   2                scrapheap                            shaunt nigoghossian              marsha griffin   february 18 , 2011        107
2    8   3                  con job                                   vinton heuck             steven melching   february 25 , 2011        108
3    9   4                   convoy                                  todd waterman                 joseph kuhr       march 4 , 2011        109
4   10   5          deus ex machina                            shaunt nigoghossian                nicole dubuc      march 11 , 2011        110
5   11   6              speed metal                                   vinton heuck                 dean stefan       april 9 , 2011        111
6   12   7                predatory  todd waterman kirk van wormer (co - director)              marsha griffin      april 16 , 2011        112
7   13   8                sick mind                            shaunt nigoghossian             steven melching      april 30 , 2011        113
8   14   9          out of his head                                   vinton heuck                nicole dubuc         may 7 , 2011        114
9   15  10               shadowzone                                  todd waterman              marsha griffin        may 14 , 2011        115
10  16  11    operation : breakdown                            shaunt nigoghossian             steven melching       june 18 , 2011        116
11  17  12               crisscross                                   vinton heuck                 joseph kuhr       june 25 , 2011        117
12  18  13         metal attraction                                  todd waterman                nicole dubuc        july 9 , 2011        118
13  19  14              rock bottom                            shaunt nigoghossian                   tim jones       july 16 , 2011        119
14  20  15                 partners                                   vinton heuck                mike johnson       july 23 , 2011        120
15  21  16                      tmi                                  todd waterman                 joseph kuhr  september 10 , 2011        121
16  22  17        stronger , faster                            shaunt nigoghossian            mairghread scott  september 17 , 2011        122
17  23  18           one shall fall                                   vinton heuck   duane capizzi joseph kuhr  september 24 , 2011        123
18  24  19  one shall rise , part 1                                  todd waterman  nicole dubuc duane capizzi     october 1 , 2011        124
19  25  20  one shall rise , part 2                            shaunt nigoghossian              marsha griffin     october 8 , 2011        125
