                       year                   winner                  country                    score                    runner (s) - up
0                      1972            sandra palmer            united states                      283        judy rankin , mickey wright
1   1967 - 71 no tournament  1967 - 71 no tournament  1967 - 71 no tournament  1967 - 71 no tournament            1967 - 71 no tournament
2                      1966          kathy whitworth            united states                      291  judy kimball - simon , mary mills
3                      1965          kathy whitworth            united states                      287                       peggy wilson
4                      1964           marilynn smith            united states                      289                      mickey wright
5                      1963           marilynn smith            united states                   292 po                      mickey wright
6                      1962            mickey wright            united states                   295 po                        ruth jessen
7                      1961            mickey wright            united states                      299          patty berg , louise suggs
8                      1960              fay crocker                  uruguay                      303                    kathy cornelius
9                      1959             louise suggs            united states                      297                        betsy rawls
10                     1958           beverly hanson            united states                      299                         betty dodd
11                     1957               patty berg            united states                      296                     anne quast (a)
12                     1956             louise suggs            united states                      302                         patty berg
13                     1955               patty berg            united states                      291                    mary lena faulk
14                     1954             louise suggs            united states                      293                         patty berg
15                     1953               patty berg            united states                      294                        betsy rawls
16                     1952            babe zaharias            united states                      299                        betsy rawls
17                     1951      pat o 'sullivan (a)            united states                      301                     beverly hanson
18                     1950            babe zaharias            united states                      298                   claire doran (a)
19                     1949           peggy kirk (a)            united states                      299     patty berg , dorothy kirby (a)
20                     1948               patty berg            united states                      308     peggy kirk (a) , babe zaharias
21                     1947        babe zaharias (a)            united states                      304                  dorothy kirby (a)
22                     1946         louise suggs (a)            united states                      314                   eileen stulb (a)
23  1943 - 45 no tournament  1943 - 45 no tournament  1943 - 45 no tournament  1943 - 45 no tournament            1943 - 45 no tournament
24                     1942        dorothy kirby (a)            united states                      239                   eileen stulb (a)
25                     1941        dorothy kirby (a)            united states                      224                        helen sigel
26                     1940          helen hicks (a)            united states                      336                   helen dettweiler
27                     1939           patty berg (a)            united states                      319                  dorothy kirby (a)
28                     1938           patty berg (a)            united states                      311                   jane cothran (a)
29                     1937           patty berg (a)            united states                      240                  dorothy kirby (a)
