   place                player           country  score to par
0      1     colin montgomerie          scotland     69    - 1
1     t2             jim furyk     united states     70      e
2     t2          david howell           england     70      e
3     t2  miguel ángel jiménez             spain     70      e
4     t2        phil mickelson     united states     70      e
5     t2        steve stricker     united states     70      e
6     t7             john cook     united states     71    + 1
7     t7        kenneth ferrie           england     71    + 1
8     t7             fred funk     united states     71    + 1
9     t7       graeme mcdowell  northern ireland     71    + 1
10    t7          geoff ogilvy         australia     71    + 1
11    t7           vijay singh              fiji     71    + 1
12    t7             mike weir            canada     71    + 1
