     rank                nation  gold  silver  bronze  total
0       1   great britain (gbr)    17       3       0     20
1       2   united states (usa)     5       4       4     13
2       3       australia (aus)     3       5       7     15
3       4         germany (ger)     3       6       4     13
4       5           spain (esp)     3       5       3     11
5       6  czech republic (cze)     2       2       4      8
6       7           italy (ita)     2       1       3      6
7       8     switzerland (sui)     2       0       0      2
8       9           japan (jpn)     1       3       2      6
9      10          france (fra)     1       1       2      4
10     11    south africa (rsa)     1       1       1      3
11     12         austria (aut)     1       1       0      2
12     12         belarus (blr)     1       1       0      2
13     14     new zealand (nzl)     1       0       3      4
14     15          poland (pol)     1       0       1      2
15     16           china (chn)     0       3       4      7
16     17     netherlands (ned)     0       3       0      3
17     18     south korea (kor)     0       1       1      2
18     19         finland (fin)     0       1       0      1
19     19         romania (rou)     0       1       0      1
20     19        slovakia (svk)     0       1       0      1
21     22          canada (can)     0       0       2      2
22     22         lebanon (lib)     0       0       2      2
23     23         belgium (bel)     0       0       1      1
24  total                 total    44      44      44    132
