                  grand prix          date                   location     pole position        fastest lap      winning driver         constructor  report
0       brazilian grand prix      26 march                jacarepaguá      ayrton senna   riccardo patrese       nigel mansell             ferrari  report
1      san marino grand prix      23 april                      imola      ayrton senna        alain prost        ayrton senna     mclaren - honda  report
2          monaco grand prix         7 may                     monaco      ayrton senna        alain prost        ayrton senna     mclaren - honda  report
3         mexican grand prix        28 may         hermanos rodríguez      ayrton senna      nigel mansell        ayrton senna     mclaren - honda  report
4   united states grand prix        4 june                    phoenix      ayrton senna       ayrton senna         alain prost     mclaren - honda  report
5        canadian grand prix       18 june  circuit gilles villeneuve       alain prost    jonathan palmer     thierry boutsen  williams - renault  report
6          french grand prix        9 july                paul ricard       alain prost  maurício gugelmin         alain prost     mclaren - honda  report
7         british grand prix       16 july                silverstone      ayrton senna      nigel mansell         alain prost     mclaren - honda  report
8          german grand prix       30 july             hockenheimring      ayrton senna       ayrton senna        ayrton senna     mclaren - honda  report
9       hungarian grand prix     13 august                hungaroring  riccardo patrese      nigel mansell       nigel mansell             ferrari  report
10        belgian grand prix     27 august        spa - francorchamps      ayrton senna        alain prost        ayrton senna     mclaren - honda  report
11        italian grand prix  10 september                      monza      ayrton senna        alain prost         alain prost     mclaren - honda  report
12     portuguese grand prix  24 september                    estoril      ayrton senna     gerhard berger      gerhard berger             ferrari  report
13        spanish grand prix     1 october                      jerez      ayrton senna       ayrton senna        ayrton senna     mclaren - honda  report
14       japanese grand prix    22 october                     suzuka      ayrton senna        alain prost  alessandro nannini     benetton - ford  report
15     australian grand prix    5 november                   adelaide      ayrton senna    satoru nakajima     thierry boutsen  williams - renault  report
