   draw                                   artist                song  points  place
0     1      rosita čivilytė & donatas montvydas         dainų daina      53      7
1     2                         vilius tarasovas  aš tik tavim tikiu      20     10
2     3  darius pranckevičius & violeta valskytė     nelytėta viltis     100      2
3     4                      egidijus sipavičius           per mažai      32      9
4     5                          linas adomaitis        tavo spalvos      82      3
5     6                  milanno & karina krysko     kelias pas tave      58      5
6     7                                sasha son   pasiklydęs žmogus     109      1
7     8                      violeta tarasovienė      aš būsiu šalia      39      8
8     9                                      bix     gyvenimo valsas      57      6
9    10                    aurelija slavinskaite          part of me      59      4
