    rank                         nation  gold  silver  bronze  total
0      1             soviet union (urs)    39      38      17     94
1      2                    japan (jpn)    28      29      32     89
2      3            united states (usa)    23      19      18     60
3      4              switzerland (sui)    16      19      13     48
4      5                    italy (ita)    14       4       8     26
5      6                  germany (ger)    11       7      11     29
6      7                    china (chn)    10      10       6     26
7      8                  finland (fin)     8       5      12     25
8      9                  hungary (hun)     7       5       4     16
9     10             unified team (eun)     6       4       2     12
10    11               yugoslavia (yug)     5       2       4     11
11    12                   russia (rus)     4       3       6     13
12    13                   greece (gre)     4       3       2      9
13    14                   sweden (swe)     4       1       0      5
14    15           czechoslovakia (tch)     3       7       9     19
15    16             east germany (gdr)     3       3      10     16
16    17                   france (fra)     2       9       7     18
17    18                 bulgaria (bul)     2       2       5      9
18    19                  ukraine (ukr)     2       1       2      5
19    20                    spain (esp)     2       0       0      2
20    21                  romania (rou)     1       4       4      9
21    22                  denmark (den)     1       2       1      4
22    22                   norway (nor)     1       2       1      4
23    24                   latvia (lat)     1       1       0      2
24    25  unified team of germany (eua)     1       0       1      2
25    26                   canada (can)     1       0       0      1
26    26              north korea (prk)     1       0       0      1
27    28              south korea (kor)     0       3       4      7
28    29                  belgium (bel)     0       1       1      2
29    29            great britain (gbr)     0       1       1      2
30    29                   poland (pol)     0       1       1      2
31    32                  belarus (blr)     0       0       4      4
32    33             west germany (frg)     0       0       1      1
