     res  record           opponent                             method                            event  round  time                                      location
0   loss  11 - 3    cyrille diabaté      submission (rear naked choke)                          ufc 154      1  2:24                    montreal , quebec , canada
1   loss  11 - 2      travis browne  submission (arm - triangle choke)                          ufc 145      1  2:29             atlanta , georgia , united states
2    win  11 - 1  valentijn overeem               submission (punches)  strikeforce : overeem vs werdum      1  2:08                dallas , texas , united states
3    win  10 - 1      gian villante                      tko (punches)     strikeforce : fedor vs silva      1  2:49  east rutherford , new jersey , united states
4    win   9 - 1      bobby lashley                     tko (stoppage)            strikeforce : houston      2  5:00               houston , texas , united states
5    win   8 - 1      jon alexander                        ko (elbows)          usf : rumble in wyoming      1  1:13              casper , wyoming , united states
6    win   7 - 1        eric garcia                      tko (punches)               all power combat 1      1  1:02                       arizona , united states
7    win   6 - 1       steve sayegh                      tko (punches)             rage in the cage 101      1  2:28      fountain hills , arizona , united states
8   loss   5 - 1          shane ott                submission (kimura)                ifl : connecticut      1  1:09      uncasville , connecticut , united states
9    win   5 - 0         john marsh                      tko (punches)                    ifl : houston      3  2:32               houston , texas , united states
10   win   4 - 0       tony mendoza                      tko (punches)      wfc : rumble in the rockies      1  2:41           loveland , colorado , united states
11   win   3 - 0   johnathan tsosie               submission (punches)              rage in the cage 82      1  0:43              tucson , arizona , united states
12   win   2 - 0        homer moore                      tko (punches)              rage in the cage 81      3  0:30                mesa , arizona , united states
13   win   1 - 0   johnathan tsosie                      tko (punches)        total fighting alliance 1      1  0:18            campo , california , united states
