                          grand cru          region                 village               wine style vineyard surface (2010)
0                 chablis grand cru         chablis                 chablis               white wine        hectares (acres)
1                        chambertin   côte de nuits     gevrey - chambertin                 red wine        hectares (acres)
2         chambertin - clos de bèze   côte de nuits     gevrey - chambertin                 red wine        hectares (acres)
3             chapelle - chambertin   côte de nuits     gevrey - chambertin                 red wine        hectares (acres)
4              charmes - chambertin   côte de nuits     gevrey - chambertin                 red wine        hectares (acres)
5              griotte - chambertin   côte de nuits     gevrey - chambertin                 red wine        hectares (acres)
6          latricières - chambertin   côte de nuits     gevrey - chambertin                 red wine        hectares (acres)
7                mazis - chambertin   côte de nuits     gevrey - chambertin                 red wine        hectares (acres)
8            mazoyères - chambertin   côte de nuits     gevrey - chambertin                 red wine        hectares (acres)
9            ruchottes - chambertin   côte de nuits     gevrey - chambertin                 red wine        hectares (acres)
10                   bonnes - mares   côte de nuits   morey - saint - denis                 red wine        hectares (acres)
11                 clos de la roche   côte de nuits   morey - saint - denis                 red wine        hectares (acres)
12                clos des lambrays   côte de nuits   morey - saint - denis                 red wine        hectares (acres)
13                     clos de tart   côte de nuits   morey - saint - denis                 red wine        hectares (acres)
14               clos saint - denis   côte de nuits   morey - saint - denis                 red wine        hectares (acres)
15                   bonnes - mares   côte de nuits     chambolle - musigny                 red wine     ( hectares (acres))
16                          musigny   côte de nuits     chambolle - musigny  red and some white wine        hectares (acres)
17                  clos de vougeot   côte de nuits                 vougeot                 red wine        hectares (acres)
18                        échezeaux   côte de nuits      flagey - echézeaux                 red wine        hectares (acres)
19                 grands échezeaux   côte de nuits      flagey - echézeaux                 red wine        hectares (acres)
20                    la grande rue   côte de nuits         vosne - romanée                 red wine        hectares (acres)
21                       la romanée   côte de nuits         vosne - romanée                 red wine        hectares (acres)
22                          la tche   côte de nuits         vosne - romanée                 red wine        hectares (acres)
23                       richebourg   côte de nuits         vosne - romanée                 red wine        hectares (acres)
24                  romanée - conti   côte de nuits         vosne - romanée                 red wine        hectares (acres)
25         romanée - saint - vivant   côte de nuits         vosne - romanée                 red wine        hectares (acres)
26                           corton  côte de beaune   pernand - vergelesses  red and some white wine        hectares (acres)
27             corton - charlemagne  côte de beaune   pernand - vergelesses               white wine        hectares (acres)
28                      charlemagne  côte de beaune   pernand - vergelesses               white wine        hectares (acres)
29                           corton  côte de beaune       ladoix - serrigny  red and some white wine     ( hectares (acres))
30             corton - charlemagne  côte de beaune       ladoix - serrigny               white wine     ( hectares (acres))
31                           corton  côte de beaune          aloxe - corton  red and some white wine     ( hectares (acres))
32             corton - charlemagne  côte de beaune          aloxe - corton               white wine     ( hectares (acres))
33                      charlemagne  côte de beaune          aloxe - corton               white wine     ( hectares (acres))
34               btard - montrachet  côte de beaune    puligny - montrachet               white wine        hectares (acres)
35  bienvenues - btard - montrachet  côte de beaune    puligny - montrachet               white wine        hectares (acres)
36           chevalier - montrachet  côte de beaune    puligny - montrachet               white wine        hectares (acres)
37                       montrachet  côte de beaune    puligny - montrachet               white wine        hectares (acres)
38               btard - montrachet  côte de beaune  chassagne - montrachet               white wine     ( hectares (acres))
39      criots - btard - montrachet  côte de beaune  chassagne - montrachet               white wine        hectares (acres)
