              player       no    nationality         position       years in toronto          school / club team
0         quincy acy        4  united states          forward         2012 - present                      baylor
1       hassan adams        3  united states  guard - forward              2008 - 09                     arizona
2      alexis ajinça       42         france           center                   2011  hyères - toulon ( france )
3      solomon alabi       50        nigeria           center            2010 - 2012               florida state
4       rafer alston  11 , 12  united states            guard  2002 - 03 , 2004 - 05                fresno state
5     david andersen       13      australia           center                   2010    virtus bologna ( italy )
6      alan anderson        6  united states  guard - forward            2012 - 2013              michigan state
7    willie anderson       40  united states  guard - forward              1995 - 96                     georgia
8      rafael araújo       55         brazil           center              2004 - 06                         byu
9   robert archibald       34       scotland           center                   2004                    illinois
10     carlos arroyo       21    puerto rico            guard                   2001       florida international
