    season                champion                          runner - up               third place                            top scorer                          best player
0     1992                  kairat             orbadasy (skif ordabasy)          irtysh (traktor)          sergei kogai ( kaisar ) - 21             sergei volgin ( kairat )
1     1993          irtysh (ansat)                 ekibastuzets (batyr)                   gornyak    aleksandr shmarikov ( taraz ) - 28  nikolay kurganskiy ( ekibastuzets )
2     1994         semey (yelimay)                       irtysh (ansat)         ordabasy (zhiger)        oleg litvinenko ( taraz ) - 20          kanat musataev ( ordabasy )
3     1995         semey (yelimay)                                taraz                  shakhter  andrei miroshnichenko ( semey ) - 23      andrei miroshnichenko ( semey )
4     1996                   taraz                               irtysh           semey (yelimay)        viktor antonov ( irtysh ) - 21         oleg voskoboynikov ( taraz )
5     1997                  irtysh                                taraz                    kairat         nurken mazbaev ( taraz ) - 16         oleg voskoboynikov ( taraz )
6     1998         semey (yelimay)                 ekibastuzets (batyr)                    irtysh        oleg litvinenko ( semey ) - 14        oleg voskoboynikov ( kaisar )
7     1999  irtysh (irtysh bastau)            kyzylzhar (access - esil)                    kairat  rejepmyrat agabaã½ew ( kairat ) - 24            igor avdeev ( kyzylzhar )
8     2000    astana - 64 (zhenis)  kyzylzhar (access - golden - grain)                    irtysh                mendes ( irtysh ) - 21            igor avdeev ( kyzylzhar )
9     2001    astana - 64 (zhenis)                               atyrau  kyzylzhar (esil bogatyr)  arsen tlekhugov ( astana - 64 ) - 30      arsen tlekhugov ( astana - 64 )
10    2002                  irtysh                               atyrau                     tobol       yevgeny lunev ( shakhter ) - 16      evgeniy lovchev ( astana - 64 )
11    2003                  irtysh                                tobol      astana - 64 (zhenis)  andrei finonchenko ( shakhter ) - 18       nurbol zhumaskaliyev ( tobol )
12    2005                  aktobe                                tobol                    kairat         murat tleshev ( irtysh ) - 20       nurbol zhumaskaliyev ( tobol )
13    2006    astana - 64 (astana)                               aktobe                     tobol       jafar irismetov ( almaty ) - 17          david loria ( astana - 64 )
14    2007                  aktobe                                tobol                  shakhter       jafar irismetov ( almaty ) - 17              samat smakov ( aktobe )
15    2008                  aktobe                                tobol                    irtysh         murat tleshev ( irtysh ) - 13              samat smakov ( aktobe )
16    2010                   tobol                               aktobe                    irtysh         ulugbek bakaev ( tobol ) - 16       nurbol zhumaskaliyev ( tobol )
17    2011                shakhter                              zhetysu                    aktobe       ulugbek bakaev ( zhetysu ) - 18         ulan konysbayev ( shakhter )
