                     tournament                         2005                         2006                         2007                         2008                         2009                         2010                         2011                         2012
0                   grand slams                  grand slams                  grand slams                  grand slams                  grand slams                  grand slams                  grand slams                  grand slams                  grand slams
1               australian open                            a                            a                            a                            a                           2r                           1r                           1r                           3r
2                   french open                            a                            a                            a                           3r                           1r                           1r                            a                            a
3                     wimbledon                           1r                           2r                           1r                           2r                           1r                           2r                           qf                           1r
4                       us open                            a                            a                            a                           2r                           1r                           1r                           qf                           3r
5                    win - loss                        0 - 1                        1 - 1                        0 - 1                        4 - 3                        1 - 4                        1 - 4                        5 - 3                        4 - 3
6         atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals
7         atp world tour finals                            a                            a                            a                            a                            a                            a                            a                            a
8                      olympics                     olympics                     olympics                     olympics                     olympics                     olympics                     olympics                     olympics                     olympics
9               summer olympics                     not held                     not held                     not held                            a                     not held                     not held                     not held                           1r
10  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000
11         indian wells masters                            a                            a                            a                            a                           qf                           1r                            a                           1r
12                miami masters                            a                            a                            a                            a                           qf                           1r                            a                           2r
13        monte - carlo masters                            a                            a                            a                            a                            a                            a                            a                            a
14                 rome masters                            a                            a                            a                            a                           1r                            a                            a                            a
15               madrid masters                            a                            a                            a                            a                           qf                            a                            a                            a
16               canada masters                            a                            a                            a                            a                           1r                            a                            a                           1r
17           cincinnati masters                            a                            a                            a                            a                           1r                            a                            a                           1r
18             shanghai masters                          nm1                          nm1                          nm1                          nm1                            a                            a                            a                           sf
19                paris masters                            a                            a                            a                            a                            a                            a                           2r                           2r
20              hamburg masters                            a                            a                            a                            a                          nm1                          nm1                          nm1                          nm1
21                   win - loss                            a                            a                            a                            a                        6 - 6                        0 - 2                        1 - 1                        5 - 6
22        atp final appearances                            0                            0                            1                            3                            1                            3                            1                            4
23                   atp titles                            0                            0                            0                            1                            0                            1                            1                            2
24             year end ranking                          272                          153                           92                           44                           50                           51                           43                           28
