    year (ceremony)                                original title                         english title                                 director                  result
0              1960                     a morte comanda o cangaço             death commands brigandage  carlos coimbra & walter guimarães motta           not nominated
1              1962                        o pagador de promessas                  keeper of promises a                           anselmo duarte                 nominee
2              1964                deus e o diabo na terra do sol     the black god and the white devil                            glauber rocha           not nominated
3              1965                 são paulo , sociedade anônima                são paulo incorporated                       luis sérgio person           not nominated
4              1967                       o caso dos irmãos naves         the case of the nave brothers                       luis sérgio person           not nominated
5              1968                                   as amorosas                      the amorous ones                       walter hugo khouri           not nominated
6              1970  o dragão da maldade contra o santo guerreiro                    antonio das mortes                            glauber rocha           not nominated
7              1971                                 pecado mortal                            mortal sin                        miguel faria , jr           not nominated
8              1972                         pra quem fica , tchau                 pra quem fica , tchau                          reginaldo faria           not nominated
9              1973                como era gostoso o meu francês     how tasty was my little frenchman                nelson pereira dos santos           not nominated
10             1974                                a faca e o rio        john , the knife and the river                           george sluizer           not nominated
11             1975                         a noite do espantalho                the scarecrow 's night                           sérgio ricardo           not nominated
12             1976                             o amuleto de ogum                        ogum 's amulet                nelson pereira dos santos           not nominated
13             1977                                 xica da silva                                  xica                             cacá diegues           not nominated
14             1978                            tenda dos milagres                      tent of miracles                nelson pereira dos santos           not nominated
15             1979                             a lira do delírio                   the lyre of delight                         walter lima , jr           not nominated
16             1981                                bye bye brasil                        bye bye brazil                             cacá diegues           not nominated
17             1985                           memórias do cárcere                     memoirs of prison                nelson pereira dos santos           not nominated
18             1987                             a hora da estrela                  the hour of the star                            suzana amaral           not nominated
19             1988                      um trem para as estrelas                   subway to the stars                             cacá diegues           not nominated
20             1989                          romance da empregada                   the story of fausta                            bruno barreto           not nominated
21             1990                           dias melhores virão                     better days ahead                             cacá diegues           not nominated
22             1996                                   o quatrilho                           o quatrilho                            fábio barreto                 nominee
23             1997                              tieta do agreste                      tieta do agreste                             cacá diegues           not nominated
24             1998                    o que é isso , companheiro                four days in september                            bruno barreto                 nominee
25             1999                           central do brasil b                       central station                            walter salles                 nominee
26             2000                                         orfeu                                 orfeu                             cacá diegues           not nominated
27             2001                                eu , tu , eles                       me , you , them                      andrucha waddington           not nominated
28             2002                             abril despedaçado                        behind the sun                            walter salles           not nominated
29             2003                              cidade de deus c                           city of god                       fernando meirelles           not nominated
30             2004                                     carandiru                             carandiru                           hector babenco           not nominated
31             2005                                          olga                                  olga                          jayme monjardim           not nominated
32             2006                      dois filhos de francisco                 two sons of francisco                           breno silveira           not nominated
33             2007                   cinema , aspirinas e urubus        cinema , aspirins and vultures                            marcelo gomes           not nominated
34             2008       o ano em que meus pais saíram de férias  the year my parents went on vacation                            cao hamburger  made january shortlist
35             2009                             última parada 174                         last stop 174                            bruno barreto           not nominated
36             2010                                   salve geral                          time of fear                           sérgio rezende           not nominated
37             2011                      lula , o filho do brasil              lula , o filho do brasil                            fábio barreto           not nominated
38             2012                              tropa de elite 2                     the elite squad 2                             josé padilha           not nominated
39             2013                                     o palhaço                             the clown                             selton mello           not nominated
