                                   couple                 style                                   music       choreographer            results
0  rhiannon villareal joel de carteret jd             hip - hop                kiss , kiss- chris brown    manuela oliveira               safe
1            courtney walter hilton denis          jazz lyrical     exit music (for a film) - radiohead        kelly aykers  walter eliminated
2          vanessa sew hoy henry byalikov                 salsa        don't hold back - the potbelleez     luda and oliver           bottom 3
3     camilla jakimowicz sermsah bin saad       musical theatre            big spender - shirley bassey       adam williams               safe
4           jemma armstrong rhys bobridge                 waltz     a new day has come from celine dion      jason gilkison               safe
5             laura brougham anthony ikin  contemporary lyrical                     nobody knows - pink  juliette jet verne               safe
6           stephanie golman marko panzic                  jive               untouched - the veronicas      jason gilkison               safe
7                kate wormald khaly ngeth     contemporary jazz  if you keep losing sleep - silverchair         sally clark   ngeth eliminated
8               demi sorono jack chambers              boogaloo                 flashlight - parliament           nacho pop               safe
9       kassandra kassy lee graeme isaako       lyrical hip hop             bleeding love - leona lewis      yannus sufandi               safe
