                                           disaster               type              location                                       deaths                  date
0                                       spanish flu           pandemic                canada                             50000 (estimate)          1918 to 1919
1                    newfoundland hurricane of 1775          hurricane          newfoundland                                         4000                  1775
2                                 halifax explosion          explosion           nova scotia                                         2000                  1917
3                               tseax cone eruption            volcano      british columbia                                         2000  1700 (approximately)
4                            rms empress of ireland          shipwreck                quebec                                         1012                  1914
5                                      rms atlantic          shipwreck           nova scotia                                          562                  1873
6                                      duke william          shipwreck    near english coast                                          360    1758 (december 13)
7                                ss princess sophia          shipwreck  near juneau , alaska                                          353                  1918
8                                            aeneas          shipwreck          newfoundland                                          340                  1805
9                                            violet          shipwreck               england                                          300    1758 (december 13)
10                      great labrador gale of 1885          hurricane          newfoundland                                          300     1885 (10 october)
11                                          sibylle          shipwreck           nova scotia                                          300   1834 (11 september)
12                                       ss pacific          shipwreck      british columbia                                          298                  1875
13                             air india flight 182           sabotage        atlantic ocean  280 canadians (out of 329 total fatalities)                  1985
14                      nigeria airways flight 2120           aircrash          saudi arabia                                          261                  1991
15                            arrow air flight 1285           aircrash          newfoundland                                          256                  1985
16                        great lakes storm of 1913              storm               ontario                                          250                  1913
17                                      hms tribune          shipwreck           nova scotia                                          238                  1797
18                                   ss anglo saxon          shipwreck          newfoundland                                          237                  1863
19                              swissair flight 111           aircrash           nova scotia                                          229                  1998
20                    nova scotia hurricane of 1873  weather - related           nova scotia                               223 (disputed)                  1873
21                                    matheson fire               fire               ontario                                          223                  1916
22                                     ss hungarian          shipwreck           nova scotia                                          205                  1860
23  uss pollux (aks - 2) and uss truxtun (dd - 229)          shipwreck          newfoundland                                          203                  1942
