    rank                                        name          nation  points  places
0      1        liudmila belousova / oleg protopopov    soviet union   104.4    13.0
1      2       marika kilius / hans - jürgen bäumler         germany   103.6    15.0
2      3                   debbi wilkes / guy revell          canada    98.5    35.5
3      4               vivian joseph / ronald joseph   united states    89.2    35.5
4      5           tatiana zhuk / alexander gavrilov    soviet union    96.6    45.0
5      6                  gerda johner / rüdi johner     switzerland    95.4    56.0
6      7  judianne fotheringill / jerry fotheringill   united states    94.7    69.5
7      8          cynthia kauffman / ronald kauffman   united states    92.8    74.0
8      9      agnesa wlachovská / peter bartosiewicz  czechoslovakia    91.8    84.0
9     10          milada kubikova / jaroslav votruba  czechoslovakia    88.9    97.0
10    11   brigitte wokoeck / heinz - ulrich walther         germany    88.8   103.5
11    12        gerlinde schönbauer / wilhelm bietak         austria    87.7   108.0
12    13                   margit senf / peter göbel         germany    87.9   113.5
13    14                   faye strutt / jim watters          canada    85.3   122.5
14    15             ingeborg strell / fery dedovich         austria    83.6   129.0
15    16             linda ann ward / neil carpenter          canada    84.2   128.5
16    17                 monique mathys / yves ällig     switzerland    81.5   147.5
