    year                                    player                                   country                                      team                                  position
0   1993                             mario lemieux                                    canada                       pittsburgh penguins                                    center
1   1994                             mario lemieux                                    canada                       pittsburgh penguins                                    center
2   1995                              mark messier                                    canada                          new york rangers                                    center
3   1996                              eric lindros                                    canada                       philadelphia flyers                                    center
4   1997                                 joe sakic                                    canada                        colorado avalanche                                    center
5   1998                             mario lemieux                                    canada                       pittsburgh penguins                                    center
6   1999                             dominik hasek                            czech republic                            buffalo sabres                                goaltender
7   2000                             dominik hasek                            czech republic                            buffalo sabres                                goaltender
8   2001                             chris pronger                                    canada                            st louis blues                                defenseman
9   2002                             jarome iginla                                    canada                            calgary flames                                right wing
10  2003                  jean - sebastien giguere                                    canada                   mighty ducks of anaheim                                goaltender
11  2004                             jarome iginla                                    canada                            calgary flames                                right wing
12  2005  no award given ( 2004 - 05 nhl lockout )  no award given ( 2004 - 05 nhl lockout )  no award given ( 2004 - 05 nhl lockout )  no award given ( 2004 - 05 nhl lockout )
13  2006                              jaromír jágr                            czech republic                          new york rangers                                right wing
14  2007                             sidney crosby                                    canada                       pittsburgh penguins                                    center
15  2008                             sidney crosby                                    canada                       pittsburgh penguins                                    center
16  2009                             sidney crosby                                    canada                       pittsburgh penguins                                    center
17  2010                             sidney crosby                                    canada                       pittsburgh penguins                                    center
18  2011                                tim thomas                             united states                             boston bruins                                goaltender
19  2012                            jonathan quick                             united states                         los angeles kings                                goaltender
20  2013                             sidney crosby                                    canada                       pittsburgh penguins                                    center
