                           tournament                               2006                               2007                               2008                               2009                               2010                               2011                               2012
0              grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments
1                     australian open                                  a                                  a                                  a                                 2r                                 3r                                 2r                                 qf
2                         french open                                  a                                  a                                 2r                                 3r                                 qf                                 3r                                 2r
3                           wimbledon                                  a                                  a                                 2r                                 3r                                 2r                                 2r                                 2r
4                             us open                                  a                                  a                                 2r                                 3r                                 2r                                 1r                                 1r
5                          win - loss                              0 - 0                              0 - 0                              3 - 3                              7 - 4                              7 - 4                              4 - 4                              5 - 4
6             year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship
7              wta tour championships                    did not qualify                    did not qualify                    did not qualify                    did not qualify                    did not qualify                    did not qualify                    did not qualify
8                       olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games
9                     summer olympics                                  a                           not held                           not held                           not held                                  a                                 nh                              0 - 0
10  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments
11                       indian wells                                  a                                  a                                  a                                 qf                                 1r                                 1r                                 2r
12                       key biscayne                                  a                                  a                                  a                                 1r                                 2r                                 2r                                 sf
13                             madrid                                 nh                                 nh                                 nh                                 2r                                  a                                 1r                                 2r
14                            beijing                               tier                               tier                               tier                                  a                                  a                                 1r                                 1r
15          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments
16                              dubai                                  a                                  a                                  a                                 qf                                  a                                 2r                                 1r
17                               rome                                  a                                  a                                  a                                  a                                  a                                  a                                 11
18                         cincinnati                                  a                                  a                                 1r                                 sf                                 qf                                 1r                                  a
19                 montreal / toronto                                  a                                  a                                 1r                                 1r                                 sf                                 2r                                  a
20                              tokyo                                  a                                  a                                  a                                  a                                  a                                  a                                 1r
21            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments
22                         charleston                                  a                                  a                                  a                                  a                                  a                                  a                                  a
23                             moscow                                  a                                  a                                 sf                                 sf                                 qf                                  a                                  a
24                               doha                                  a                                  a                                 qf                           not held                           not held                                 1r                                  a
25                             berlin                                  a                                  a                                 1r                           not held                           not held                           not held                           not held
26                             zurich                                  a                                  a                                 qf                           not held                           not held                           not held                           not held
27                          san diego                                  a                                  a                                  a                                  a                                  a                                  a                                  a
28                 year - end ranking                                159                                131                                 35                                 30                                 30                                 50                                 27
