                                     book title                author                   edition / publisher               page count                                  page size                          language
0                        in search of lost time         marcel proust                        modern library   4211 pages , 7 volumes                  inches (cm) x inches (cm)     french to english translation
1                                      min kamp    karl ove knausgård                      forlaget oktober   3600 pages , 6 volumes                                    unknown                         norwegian
2                                 zettels traum          arno schmidt        suhrkamp verlag (2010 edition)               1536 pages                  inches (cm) x inches (cm)                            german
3                                       kelidar   mahmoud dowlatabadi                 farhang moaser (1984)  2836 pages , 10 volumes                  inches (cm) x inches (cm)                           persian
4                               ponniyin selvan   kalki krishnamurthy                                 kalki   2600 pages , 5 volumes                  inches (cm) x inches (cm)                             tamil
5   clarissa , or , the history of a young lady     samuel richardson               penguin classics (1986)   1534 pages , paperback                  inches (cm) x inches (cm)                           english
6                        poor fellow my country        xavier herbert  harpercollins publishers (australia)   1466 pages , hardcover                  inches (cm) x inches (cm)                           english
7                                 women and men        joseph mcelroy                          knopf (1987)   1192 pages , hardcover                  inches (cm) x inches (cm)                           english
8                               sironia , texas        madison cooper               houghton mifflin (1952)   1731 pages , 2 volumes                         unknown dimensions                           english
9                 romance of the three kingdoms         luo guanzhong        foreign languages press (1995)   2340 pages , 4 volumes                  inches (cm) x inches (cm)    chinese to english translation
10                  miss macintosh , my darling      marguerite young                      scribners (1965)               1198 pages                         unknown dimensions                           english
11                               atlas shrugged              ayn rand           signet books (1996 edition)   1088 pages , paperback                  inches (cm) x inches (cm)                           english
12                            jean - christophe        romain rolland       henry holt (1910 , 1911 , 1913)   1666 pages , 3 volumes                         unknown dimensions     french to english translation
13                             parallel stories           péter nádas                               picador   1133 pages , paperback                  inches (cm) x inches (cm)  hungarian to english translation
14                               a suitable boy           vikram seth                         penguin books   1368 pages , paperback                  inches (cm) x inches (cm)                           english
15                                war and peace           leo tolstoy              oxford world 's classics   1440 pages , paperback                  inches (cm) x inches (cm)    russian to english translation
16                             il mulino del po    riccardo bacchelli             arnoldo mondadori editore   2113 pages , paperback      8 inches (20 cm) x 5.4 inches (14 cm)                           italian
17                                infinite jest  david foster wallace                        back bay books   1104 pages , paperback                  inches (cm) x inches (cm)                           english
18                             remembrance rock         carl sandburg                         mariner books   1088 pages , paperback                  inches (cm) x inches (cm)                           english
19                               les misérables           victor hugo                       signet classics   1488 pages , paperback                  inches (cm) x inches (cm)     french to english translation
20                                horcynus orca      stefano d'arrigo             arnoldo mondadori editore   1257 pages , hardcover  8.2 inches (21 cm) x 5.6 inches (14.2 cm)                           italian
