   day (see irregularities )                sunday day one                     monday day two                        tuesday day three                  wednesday day four                  thursday day five                     friday day six                    saturday day seven
0                  icelandic              sunnudagur (sun)                   mánudagur (moon)                              þriðjudagur                        miðvikudagur                        fimmtudagur                         föstudagur                           laugardagur
1                     hebrew          יום ראשון yom rishon                 יום שני yom sheyni                    יום שלישי yom shlishi                יום רביעי yom revi'i             יום חמישי yom khamishi                יום שישי yom shishi                   יום שבת yom shabbat
2       ecclesiastical latin                      dominica                      feria secunda                             feria tertia                        feria quarta                       feria quinta                        feria sexta                              sabbatum
3                 portuguese                       domingo                    segunda - feira                            terça - feira                      quarta - feira                     quinta - feira                      sexta - feira                                sábado
4                      greek               κυριακή kyriakí                    δευτέρα deftéra                              τρίτη tríti                     τετάρτη tetárti                      πέμπτη pémpti                παρασκευή paraskeví                        σάββατο sávato
5                   georgian                  კვირა k'vira                  ორშაბათი oršabati                      სამშაბათი samšabati                 ოთხშაბათი otxšabati                ხუთშაბათი xutšabati              პარასკევი p'arask'evi                         შაბათი šabati
6                   armenian                 կիրակի kiraki             երկուշաբթի yerkushabti                    երեքշաբթի yerekshabti             չորեքշաբթի chorekshabti               հինգշաբթի hingshabti                       ուրբաթ urbat                          շաբաթ shabat
7                 vietnamese         chủ nhật or chúa nhật                     (ngày) thứ hai                            (ngày) thứ ba                       (ngày) thứ tư                     (ngày) thứ năm                     (ngày) thứ sáu                        (ngày) thứ bảy
8                     somali                          axad                             isniin                                  talaado                              arbaco                            khamiis                              jimco                                 sabti
9                    amharic                      እሑድ əhud                    ሰኞ säñño (next)                            ማክሰኞ maksäñño                 ረቡዕ , ሮብ räbu , rob                          ሐሙስ hamus                   ዓርብ arb (sunset)                    ቅዳሜ ḳədame (first)
10                    arabic  يوم) الأحد) (yawm) al - aḥad  يوم) الإثنين) (yawm) al - ithnayn  يوم) الثُّلَاثاء) (yawm) ath - thulathā  يوم) الأَرْبعاء) (yawm) al - arbiā  يوم) الخَمِيس) (yawm) al - khamīs  يوم) الجُمْعَة) (yawm) al - jumah       يوم) السَّبْت) (yawm) as - sabt
11                   maltese                     il - ħadd                         it - tnejn                              it - tlieta                          l - erbgħa                         il - hamis                        il - gimgħa                             is - sibt
12                     malay                          ahad                              isnin                                   selasa                                rabu                             khamis                             jumaat                                 sabtu
13                indonesian           minggu (portuguese)                              senin                                   selasa                                rabu                              kamis                              jumat                                 sabtu
14                 sundanese              minggu / minggon                              senén                                   salasa                                rebo                              kemis                             jumaah                                 saptu
15                   persian              یکشنبه yekshanbe                    دوشنبه doshanbe                         سه شنبه seshanbe                چهارشنبه chahrshanbe                 پنجشنبه panjshanbe                        آدینه dineh  شنبه shanbe (night & day) shabne ruz
16                    khowar           یک شمبے yak shambey                 دو شمبے du shambey                      سہ شمبے sey shambey               چار شمبے char shambey                  پچھمبے pachhambey                        آدینہ adina                          شمبے shambey
17                   kurdish                 yekşem ( ku )                       duşem ( ku )                             sêşem ( ku )                       çarşem ( ku )                     pêncşem ( ku )                          în ( ku )                           şemî ( ku )
