   rank  runs          player  matches  innings  not out  average
0     1  5028     don bradman       37       63        7    89.78
1     2  3548     alan border       47       82       19    56.31
2     3  3200     steve waugh       46       73       18    58.18
3     4  2660       clem hill       41       76        1    35.46
4     5  2619   greg chappell       35       65        8    45.94
5     6  2496     mark taylor       33       61        2    42.30
6     7  2416     neil harvey       37       68        5    38.34
7     8  2363   ricky ponting       31       50        1    48.22
8     9  2263  victor trumper       40       74        5    32.79
9    10  2237      david boon       31       57        8    45.65
