    result                 opponent  type       rd , time                 date                                       location
0   result                 opponent  type       rd , time                 date                                       location
1     loss              john murray   tko          4 (12)     october 3 , 2009                altrincham , greater manchester
2     loss               tom glover   pts           8 (8)       july 18 , 2009             york hall , bethnal green , london
3     loss         anthony mazaache   pts         12 (12)   february 28 , 2009                              norwich , norfolk
4      win  juan carlos melero diaz    ko           3 (3)     october 4 , 2008                              norwich , norfolk
5     loss             yuri romanov   tko           6 (3)       april 4 , 2008             york hall , bethnal green , london
6      win             dave stewart   tko  12 (12) , 1:24     october 5 , 2007             york hall , bethnal green , london
7      win             scott lawton    ko   7 (12) , 2:40      march 16 , 2007         norwich showground , norwich , norfolk
8      win               lee meager    ud         12 (12)    december 8 , 2006  goresbrook leisure centre , dagenham , london
9      win     jorge daniel miranda   pts         10 (10)        may 13 , 2006      ponds forge arena , sheffield , yorkshire
10     win              alan temple   tko           5 (8)   february 17 , 2006             york hall , bethnal green , london
11     win          vasile dragomir    ko   4 (12) , 0:20   september 3 , 2005                carrow road , norwich , norfolk
12     win   christophe de busillet    ko          4 (12)       april 9 , 2005             sports village , norwich , norfolk
13     win               carl allen    ko    1 (4) , 1:41   december 13 , 2004      holiday inn , birmingham , united kingdom
14     win           silence saheed   pts           6 (6)     october 9 , 2004             sports village , norwich , norfolk
15     win           victor baranov   tko           1 (0)  september 21 , 2002             sports village , norwich , norfolk
16     win            mark waelkens   pts           7 (0)       june 15 , 2002             sports village , norwich , norfolk
17     win               john chill   pts           2 (0)      april 13 , 2002             sports village , norwich , norfolk
18    loss             eamonn magee   pts          6 (12)    february 9 , 2002        men arena , manchester , united kingdom
19     win               david kirk   pts           4 (4)       july 28 , 2001           conference centre , wembley , london
20     win              alan temple   pts           4 (4)      march 26 , 2001           conference centre , wembley , london
21    loss             ricky hatton   pts         12 (12)    october 21 , 2000           conference centre , wembley , london
22     win           kimoun kouassi   tko           3 (0)       july 15 , 2000             sports village , norwich , norfolk
23    loss            jason rowland   tko          5 (12)   november 15 , 1999             york hall , bethnal green , london
24     win            brian coleman   pts           6 (6)      august 7 , 1999   goresbrook leisure centre , dagenham , essex
25     win              karl taylor   pts           6 (6)        may 15 , 1999      ponds forge arena , sheffield , yorkshire
26    loss         emanuel augustus    ko          7 (12)  september 26 , 1998             sports village , norwich , norfolk
