         township     county  pop (2010)  land ( sqmi )  water (sqmi)   latitude     longitude      geo id  ansi code
0       kandiyohi      burke          39         33.216         2.686  48.583099  - 102.319674  3801341280    1037090
1            kane  bottineau          57         31.547         1.288  48.755714  - 100.917243  3800941300    1759281
2       karlsruhe    mchenry          38         34.283         1.109  48.066778  - 100.561299  3804941420    2397818
3           keene   mckenzie          41         36.881         0.000  47.978971  - 102.962365  3805341580    1036969
4          keller      burke          33         35.799         0.247  48.850211  - 102.872177  3801341660    1759323
5           kelso     traill          69         35.067         0.000  47.281432   - 97.006838  3809741860    1036679
6         kenmare       ward         104         33.312         1.212  48.683915  - 102.027850  3810142060    2397819
7         kennedy  hettinger          33         36.067         0.068  46.330491  - 102.871922  3804142100    1037232
8        kennison    lamoure         108         35.832         0.019  46.580123   - 98.714723  3804542140    1036915
9          kensal   stutsman          44         32.208         2.715  47.278032   - 98.805841  3809342220    1036509
10     kensington      walsh         244         33.789         0.076  48.416067   - 97.721640  3809942260    1036537
11           kent     dickey          29         35.881         0.025  46.073475   - 98.317906  3802142300    1036755
12        kentner     dickey         183         36.114         0.009  46.070600   - 98.431761  3802142340    1036757
13           kern  hettinger          20         32.362         0.020  46.234600  - 102.299734  3804142420    1037211
14       keystone     dickey          44         35.891         0.000  46.155029   - 98.566732  3802142500    1036774
15       kickapoo  mountrail          28         33.414         2.472  48.237425  - 102.009372  3806142620    1036938
16       kingsley     griggs          50         36.039         0.000  47.456928   - 98.435797  3803942820    1036645
17       kingston    sargent          85         41.940         0.375  46.057775   - 97.310097  3808142860    1036792
18        kinloss      walsh          32         35.325         0.393  48.504520   - 98.266561  3809942900    1036551
19         kinyon       cass          91         36.022         0.000  47.195064   - 97.006279  3801742980    1036394
20       kirkelie       ward         436         36.393         0.058  48.325754  - 101.476236  3810143020    1759683
21     klingstrup     ramsey          46         35.870         0.000  48.500605   - 98.905402  3807143100    1759578
22    knife river  mountrail          34         35.691         0.278  48.068334  - 102.505444  3806143220    1037095
23           knox     benson          28         35.788         0.605  48.328429   - 99.644306  3800543300    2397822
24      kohlmeier    rolette          27         35.255         0.435  48.682919  - 100.070089  3807943340    1759624
25  kottke valley    mchenry          49         35.642         0.000  48.327400  - 100.950435  3804943460    1759494
26          kunze  hettinger          51         36.429         0.028  46.584716  - 102.868980  3804143620    1759457
