      date  score    set 1    set 2    set 3    set 4    set 5      total
0   jun 11  3 - 0  25 - 15  25 - 21  25 - 23       na       na    75 - 59
1   jun 12  0 - 3  17 - 25  22 - 25  24 - 26       na       na    63 - 76
2   jun 12  3 - 0  25 - 20  25 - 16  25 - 18       na       na    75 - 54
3   jun 13  1 - 3  27 - 25  19 - 25  23 - 25  16 - 25       na   85 - 100
4   jun 18  3 - 0  25 - 20  25 - 21  25 - 14       na       na    75 - 55
5   jun 19  0 - 3  21 - 25  14 - 25  25 - 27       na       na    60 - 77
6   jun 19  3 - 1  25 - 17  25 - 17  24 - 26  25 - 23       na    99 - 83
7   jun 20  0 - 3  14 - 25  15 - 25  16 - 25       na       na    45 - 75
8   jun 25  3 - 1  25 - 20  25 - 23  33 - 35  25 - 23       na  108 - 101
9   jun 26  0 - 3  16 - 25  23 - 25  20 - 25       na       na    59 - 75
10  jun 26  3 - 0  25 - 21  26 - 24  25 - 19       na       na    76 - 64
11  jun 27  3 - 1  26 - 24  21 - 25  29 - 27  25 - 23       na   101 - 99
12   jun 1  3 - 0  25 - 11  25 - 21  25 - 15       na       na    75 - 47
13   jun 2  0 - 3  19 - 25  15 - 25  23 - 25       na       na    57 - 75
14   jun 3  1 - 3  25 - 22  25 - 27  24 - 26  13 - 25       na   87 - 100
15   jun 3  3 - 0  25 - 15  25 - 12  25 - 18       na       na    75 - 45
16   jun 8  3 - 2  25 - 18  25 - 18  27 - 29  23 - 25  15 - 10  115 - 100
17   jun 9  1 - 3  25 - 18  17 - 25  18 - 25  25 - 27       na    85 - 95
18  jun 10  0 - 3  25 - 27  17 - 25  17 - 25       na       na    59 - 77
19  jun 10  3 - 0  25 - 23  25 - 16  25 - 22       na       na    75 - 61
20  jun 15  3 - 1  25 - 16  21 - 25  25 - 20  25 - 22       na    96 - 83
21  jun 16  3 - 1  27 - 25  26 - 24  23 - 25  25 - 20       na   101 - 94
22  jun 16  3 - 1  22 - 25  25 - 20  25 - 22  25 - 23       na    97 - 90
23  jun 17  3 - 0  25 - 23  25 - 18  25 - 12       na       na    75 - 53
