           county  per capita income  median household income  median family income  population  number of households
0      chittenden              31095                    59878                 78283      156545                 61827
1      grand isle              30499                    57436                 66686        6970                  2902
2         windsor              29053                    50893                 63387       56670                 24753
3      washington              28337                    55313                 66968       59534                 25027
4      bennington              27962                    47396                 60642       37125                 15470
5         vermont              27478                    51841                 64135      625741                256442
6   united states              27334                    51914                 62982   308745538             116716292
7         windham              27247                    46714                 58814       44513                 19290
8        lamoille              27164                    52232                 62364       24475                 10014
9         addison              26599                    55800                 67721       36821                 14084
10         orange              25951                    52079                 61221       28936                 11887
11        rutland              25426                    47027                 58790       61642                 25984
12       franklin              24767                    53623                 63009       47746                 18513
13      caledonia              22504                    42706                 51503       31227                 12553
14        orleans              20652                    40202                 48845       27231                 11320
15          essex              20040                    37734                 46263        6306                  2818
