    pick               player    position     nationality               nhl team               college / junior / club team
0    223          dave goertz     defence          canada    pittsburgh penguins                          regina pats (whl)
1    224       darcy kaminski     defence          canada       hartford whalers                   lethbridge broncos (whl)
2    225     alexei kasatonov     defence    soviet union      new jersey devils                         moscow cska (ussr)
3    226        chuck chiatto      centre   united states      detroit red wings           cranbrook high school (ushs - mi
4    227         chad johnson      centre   united states      los angeles kings             roseau high school (ushs - mn)
5    228          ron choules   left wing          canada    toronto maple leafs          trois - rivieres draveurs (qmjhl)
6    229         jamie husgen     defence   united states          winnipeg jets               des moines buccaneers (ushl)
7    230            jay mazur  right wing          canada      vancouver canucks                   breck school (ushs - mn)
8    231       sergei makarov  right wing    soviet union         calgary flames                         moscow cska (ussr)
9    232          bo berglund  right wing          sweden       quebec nordiques                    djurgardens if (sweden)
10   233          ulf nilsson  goaltender          sweden       new york rangers                        skelleftea (sweden)
11   234         marc hamelin  goaltender          canada         buffalo sabres              shawinigan cataractes (qmjhl)
12   235         kermit salfi   left wing   united states         buffalo sabres               northwood school (ushs - ny)
13   236            paul roff  right wing   united states  minnesota north stars              edina high school (ushs - mn)
14   237       peter mcgeough     defence   united states     new york islanders  bishop hendricken high school (ushs - ri)
15   238  jean - guy bergeron     defence          canada     montreal canadiens              shawinigan cataractes (qmjhl)
16   239    jindrich kokrment      centre  czechoslovakia       quebec nordiques                  litvinov (czechoslovakia)
17   240      steven woodburn     defence          canada        edmonton oilers                     verdun juniors (qmjhl)
18   241        harold duvall   left wing   united states    philadelphia flyers            belmont hill school (ushs - ma)
19   242          greg murphy     defence   united states          boston bruins  trinity - pawling high school (ushs - ny)
