    year                                       song title                           movie            music director                co - singers
0   1994                            kaiyil veenai yendhum                  vietnam colony                 ilayaraja                        solo
1   1997                          naramugaiye naramugaiye                          iruvar                a r rahman               unni krishnan
2   1998                                  raagam azhaithu            kanmani oru kavithai                 ilayaraja    arun mozhi , k s chithra
3   2000                                    ninnai charan                        bharathi                 ilayaraja                        solo
4   2001                                        vaseegara                         minnale            harris jayaraj                        solo
5   2001                                    mudhal kanave                          majunu            harris jayaraj          harish raghavendra
6   2002                                  theenda theenda              thulluvadho ilamai        yuvan shankar raja               unni krishnan
7   2002                                  theenda theenda              thulluvadho ilamai        yuvan shankar raja                        solo
8   2002  fusion of classical song kuzhaloodhi manamellam                mitr , my friend              bhavatharini                        solo
9   2003                                      ondra renda                   kaakha kaakha            harris jayaraj                        solo
10  2003                                     unnai thedum                     pon megalai                 ilayaraja                        solo
11  2004                                        malargale  pudhukottayilirundhu saravanan        yuvan shankar raja                        solo
12  2004                                   thithi thidave                            jana                     dhina                        solo
13  2005                                     suttum vizhi                         ghajini            harris jayaraj        sriram parthasarathy
14  2005                                   uyire en uyire                     thotti jaya            harris jayaraj   karthik , anuradha sriram
15  2006                                   paartha mudhal             vettaiyadu vilayadu            harris jayaraj                  unni menon
16  2006                        pudichirukku pudichirukku               nenjirukkum varai             srikanth deva               vijay yesudas
17  2007                              minnalgal koothadum                     pollathavan         g v prakash kumar                     karthik
18  2007                                       uppu kallu   karuppusamy kuththagaithaarar                     dhina                        solo
19  2007                                    unakkul naane          pachaikili muthucharam            harris jayaraj                      chorus
20  2008                             abinayam kaatugindra                     uliyin osai                 ilayaraja           sudha raghunathan
21  2008                                   yaaro manadile                     dhaam dhoom            harris jayaraj                       krish
22  2008                                siru thoduthalile                          laadam                    dharan                  haricharan
23  2008                                chellame chellame                         sathyam            harris jayaraj    balram , sunitha sarathy
24  2008                                priya ithu sitout                          nepali             srikanth deva           karthik , savitha
25  2008                                     enna matramo                 ennai theriyuma                      achu                     karthik
26  2009                                   paadhi kaadhal                  modhi vilayadu  hariharan , leslie lewis             sunitha sarathy
27  2009                                     nilai varuma                 unnaipol oruvan            shruthi hassan                kamal haasan
28  2009                                   neenda thooram             vedigundu murugesan                     dhina                        solo
29  2009                            orumurai nee paarthal                            eesa                     haran          harish raghavendra
30  2009                          orumurai nee paarthal 2                            eesa                     haran          harish raghavendra
31  2009                                kana ondru kanden                    anthony yaar                     dhina           shankar mahadevan
32  2009                                      vizhigalile                       renigunta        ganesh raghavendra                        solo
33  2010                                        kanna nee    irumbukkottai murattu singam         g v prakash kumar  naveen iyer , d a srinivas
34  2010                                       nenjukulle                      thittakudi               selva nambi                 selva nambi
35  2010                                          pemmane               aayirathil oruvan         g v prakash kumar               p b sreenivas
36  2011                                        venpaniye                              ko            harris jayaraj        sriram parthasarathy
37  2011                               kalvane en kalvane              ninaivil nindraval                   d imman                   sricharan
38  2012                                    pi 's lullaby                      life of pi             mychael danna                        solo
39  2012                                        vennilave                       thuppakki            harris jayaraj                   hariharan
40  2012                                 ariya paruvathil                      vinmeengal                     jubin               rahul nambiar
41  2012                             yen uyire(unplugged)  maalai pozhudhin mayakathilaey                      achu                        solo
42  2012                                    otrai viralal                      soozhnilai                     dhina                        solo
43  2012                                        muthangal       eppadi manasukkul vanthai                a j daniel     unni menon , jai geetha
44  2012                                       neeradinom      ithanai naalai engirunthai                     dhina                        solo
45  2012                                     uyir ezhuthe                       thik thik                   d imman                        solo
