    year                       award                                          category                  nominated work     result
0   1978                  tony award  best performance by a featured actress in a play                        tartuffe  nominated
1   1978            drama desk award            outstanding featured actress in a play       uncommon women and others  nominated
2   1978            drama desk award         outstanding featured actress in a musical  a history of the american film        won
3   1981                  tony award  best performance by a featured actress in a play                   fifth of july        won
4   1981            drama desk award            outstanding featured actress in a play                   fifth of july        won
5   1981  outer critics circle award                     outstanding actress in a play                   fifth of july        won
6   1986                  tony award  best performance by a featured actress in a play        the house of blue leaves        won
7   1986            drama desk award                     outstanding actress in a play        the house of blue leaves  nominated
8   1999            drama desk award                     outstanding actress in a play               the mineola twins  nominated
9   1999          drama league award                         distinguished performance               the mineola twins  nominated
10  1999  outer critics circle award                     outstanding actress in a play               the mineola twins  nominated
11  2004                  tony award   best performance by a leading actress in a play                          frozen  nominated
12  2004  outer critics circle award                     outstanding actress in a play                          frozen  nominated
13  2007                  tony award   best performance by a leading actress in a play                heartbreak house  nominated
