     rank          nation  gold  silver  bronze  total
0       1    soviet union     3       6       3     12
1       2    east germany     7       3       1     11
2       3         romania     3       3       3      9
3       4         hungary     1       2       2      5
4       5      yugoslavia     1       1       1      3
5       6          norway     1       1       0      2
6       7  czechoslovakia     1       0       1      2
7       8     new zealand     0       1       1      2
8       9          sweden     0       0       2      2
9      10  united kingdom     1       0       0      1
10     11        bulgaria     0       1       0      1
11     12         austria     0       0       1      1
12     13          canada     0       0       1      1
13     14     netherlands     0       0       1      1
14     15          poland     0       0       1      1
15  total           total    18      18      18     54
