    round  overall            player        position    school / club team
0       1       14        milt morin       tight end         massachusetts
1       2       29       rick norton     quarterback              kentucky
2       4       61      pete duranko   defensive end            notre dame
3       5       74     randy schultz    running back         northern iowa
4       5       78       dan fulford             end                auburn
5       6       90        jim battle          tackle        saginaw valley
6       6       93      fred hoaglin          center            pittsburgh
7       7      109      leroy carter         flanker             grambling
8       8      123        tom talaga             end            notre dame
9       9      139      jack gregory   defensive end              delta st
10     10      153   monte ledbetter   wide receiver  northwestern st (la)
11     11      169         tony fire          tackle         bowling green
12     11      183         rich czap          tackle              nebraska
13     13      199     jim boudreaux          tackle        louisiana tech
14     14      213      pete lammons       tight end                 texas
15     15      229         bob ellis   defensive end         massachusetts
16     16      243         david ray          kicker               alabama
17     17      259  gene modzelewski          tackle         new mexico st
18     18      273  charlie harraway    running back           san jose st
19     19      289       karl singer          tackle                purdue
20     20      303         joe petro  defensive back                temple
